entity_id,total_brl,media_brl,n_transacoes,min_brl,max_brl,n_cross_border,n_ip_anomaly,n_device_rooted,n_sanctions
C100104,79166.49,5277.77,15,1386.3,13653.65,2,0,0,0
C100105,87385.6,4854.76,18,400.33,13783.86,1,0,0,0
C100106,68831.6,4301.98,16,504.91,27943.42,2,0,0,0
C100107,46164.58,3551.12,13,722.39,8914.56,3,0,1,0
C100108,75171.14,3956.38,19,414.77,10002.52,2,0,1,0
C100109,37402.73,2877.13,13,345.52,6443.69,2,0,3,0
C100110,94204.49,4095.85,23,615.3,19418.75,4,0,1,0
C100111,88405.74,4209.8,21,224.59,31973.61,5,0,0,0
C100112,83878.82,4659.93,18,607.28,18102.92,7,0,0,0
C100113,64007.75,3047.99,21,170.64,10265.74,4,0,1,0
C100114,60088.5,3534.62,17,167.34,10857.74,4,0,2,0
C100115,124847.33,5945.11,21,129.42,44885.25,7,0,1,0
C100116,55168.68,3064.93,18,550.78,15474.84,4,0,0,0
C100117,196562.07,8190.09,24,586.68,116387.08,6,1,0,0
C100118,111250.06,3973.22,28,363.33,29074.89,3,0,1,0
C100119,85979.54,4525.24,19,827.25,10439.8,2,0,1,0
C100120,47615.61,3401.12,14,614.22,11554.02,2,0,0,0
C100121,82259.36,4838.79,17,389.85,26803.07,2,0,2,0
C100122,81378.21,5086.14,16,349.81,16217.44,3,1,1,0
C100123,51170.87,3198.18,16,411.33,11533.52,1,0,2,0
C100124,34456.35,2461.17,14,334.39,7800.05,1,0,0,0
C100125,80711.44,5765.1,14,482.88,18337.26,3,0,1,0
C100126,74941.87,4163.44,18,594.78,13988.32,3,0,0,0
C100127,94610.48,6307.37,15,351.78,29017.63,3,0,0,0
C100128,59984.81,2999.24,20,307.6,9650.45,1,0,1,0
C100129,80909.82,4045.49,20,381.34,10245.21,7,0,1,0
C100130,103212.69,5160.63,20,532.26,24075.06,4,0,1,0
C100131,71329.07,6484.46,11,389.6,24253.23,1,1,1,0
C100132,105941.3,4414.22,24,511.4,19201.69,6,0,2,0
C100133,62205.67,5655.06,11,573.11,21085.77,4,0,0,0
C100134,152158.34,6916.29,22,418.27,45973.8,4,1,2,0
C100135,58600.06,3662.5,16,603.79,10763.57,3,0,0,0
C100136,109861.5,5782.18,19,463.9,23742.67,4,0,1,0
C100137,46033.88,2877.12,16,420.42,10278.63,1,0,0,0
C100138,144165.93,5148.78,28,257.12,40825.85,5,0,2,0
C100139,52324.17,3737.44,14,956.23,10827.58,2,0,1,0
C100140,43374.59,3098.19,14,604.08,9159.79,1,0,1,0
C100141,78765.03,4145.53,19,352.34,13015.88,3,0,2,0
C100142,131446.01,10111.23,13,2104.71,26281.42,2,0,1,0
C100143,72614.07,7261.41,10,757.78,40534.62,0,0,1,0
C100144,62451.5,3673.62,17,276.06,19506.02,1,0,2,0
C100145,48089.02,2828.77,17,234.59,17010.96,1,0,2,0
C100146,77765.5,4092.92,19,1078.93,15312.46,2,0,0,0
C100147,62727.7,3301.46,19,558.83,8372.89,5,0,2,0
C100148,131640.97,5485.04,24,705.57,25391.3,3,0,0,0
C100149,90701.73,4319.13,21,500.29,31582.97,6,0,0,0
C100150,97136.7,4415.3,22,375.42,28166.69,5,0,1,0
C100151,131052.59,4853.8,27,534.63,15740.24,4,0,2,0
C100152,54954.01,3053.0,18,328.71,12667.95,2,0,0,0
C100153,134573.82,5851.04,23,1183.7,20684.63,4,0,1,0
C100154,124020.74,5392.21,23,682.28,12907.2,5,0,0,0
C100155,107967.15,4498.63,24,485.64,16623.55,7,0,1,0
C100156,109188.21,5459.41,20,468.74,28341.65,1,0,0,0
C100157,45744.89,4158.63,11,890.44,17519.75,1,0,0,0
C100158,47761.16,3673.94,13,830.76,10217.43,4,0,3,0
C100159,98624.42,4109.35,24,440.58,11836.38,4,0,1,0
C100160,57479.73,4105.7,14,743.06,14780.27,2,0,1,0
C100161,109268.31,5750.96,19,324.59,36867.82,7,0,0,0
C100162,88386.38,5199.2,17,549.95,16023.91,4,0,1,0
C100163,57754.21,4125.3,14,297.98,17698.74,4,0,1,0
C100164,100204.44,4175.19,24,352.8,15569.15,8,1,1,0
C100165,83323.27,6943.61,12,784.94,33523.73,2,0,0,0
C100166,101848.16,5658.23,18,296.29,15690.59,4,1,0,0
C100167,87910.45,3822.19,23,402.97,21731.44,3,0,0,0
C100168,117690.5,5884.52,20,502.25,71764.17,3,0,0,0
C100169,73989.15,3216.92,23,378.97,18778.93,3,1,1,0
C100170,57365.32,3585.33,16,503.83,10543.52,1,0,0,0
C100171,83005.48,4150.27,20,712.9,10716.61,5,0,2,0
C100172,88661.83,4433.09,20,750.83,34366.68,3,0,1,0
C100173,129187.67,6459.38,20,188.62,27463.89,2,0,0,0
C100174,99733.21,5249.12,19,823.88,27835.62,5,0,1,0
C100175,69279.31,3463.97,20,224.64,14230.78,2,0,1,0
C100176,96872.75,4612.99,21,372.96,11357.7,6,0,1,0
C100177,138528.13,5130.67,27,1095.98,26491.7,4,0,0,0
C100178,63085.42,4506.1,14,1200.14,21968.44,4,0,0,0
C100179,91528.85,4160.4,22,890.22,9274.86,3,0,0,0
C100180,68320.19,3416.01,20,360.28,13356.69,5,0,1,0
C100181,118602.15,6589.01,18,451.12,63680.23,3,0,0,0
C100182,118645.22,4394.27,27,239.65,14030.17,6,0,3,0
C100183,103385.98,4135.44,25,219.42,14827.95,11,0,0,0
C100184,74888.0,3566.1,21,655.83,24960.2,3,1,0,0
C100185,108406.81,4927.58,22,275.54,16724.0,4,0,0,0
C100186,33132.95,2548.69,13,738.66,6411.56,3,0,0,0
C100187,78520.34,5234.69,15,652.86,20116.61,3,0,1,0
C100188,59703.66,3142.3,19,148.56,11334.39,1,0,0,0
C100189,39309.41,3275.78,12,585.74,10163.74,0,0,0,0
C100190,88765.35,4931.41,18,179.18,16345.14,4,0,1,0
C100191,95456.23,5024.01,19,321.8,18689.8,3,0,0,0
C100192,42348.8,3024.91,14,255.18,10397.68,2,0,1,0
C100193,62021.95,3445.66,18,634.93,14559.89,0,0,0,0
C100194,68921.47,4594.76,15,222.44,18739.24,2,0,1,0
C100195,58652.59,3450.15,17,436.15,11854.4,5,0,1,0
C100196,130862.2,5033.16,26,276.21,18095.03,8,1,1,0
C100197,67402.53,3063.75,22,432.71,9547.72,3,0,0,0
C100198,58296.84,3238.71,18,334.47,9429.6,1,0,1,0
C100199,66080.32,4720.02,14,544.35,15898.53,4,0,0,0
C100200,80645.8,5040.36,16,608.82,39412.75,3,0,0,0
C100201,59039.65,2566.94,23,368.05,12496.54,5,0,1,0
C100202,39499.46,2633.3,15,903.04,5183.66,1,0,0,0
C100203,131673.58,5724.94,23,483.33,29626.79,6,0,1,0
C100204,50356.15,3596.87,14,233.38,13928.35,3,0,0,0
C100205,67395.62,5184.28,13,543.34,34586.02,4,0,1,0
C100206,82207.26,3736.69,22,592.87,12395.82,6,0,1,0
C100207,55227.27,3451.7,16,1554.46,7724.99,4,0,0,0
C100208,144241.98,6556.45,22,277.05,51589.26,4,0,0,0
C100209,63199.61,4514.26,14,1047.87,12027.22,3,0,1,0
C100210,91460.77,4813.72,19,308.03,33039.12,5,0,1,0
C100211,67923.1,3773.51,18,335.52,16508.87,3,0,0,0
C100212,96662.6,5370.14,18,197.49,45433.31,5,0,1,0
C100213,58381.17,2780.06,21,120.19,7507.74,4,0,0,0
C100214,129453.61,5628.42,23,350.58,27087.14,7,0,0,0
C100215,51820.68,4318.39,12,792.56,19821.76,2,0,0,0
C100216,61250.89,4711.61,13,1050.83,13587.88,1,0,0,0
C100217,51632.24,2458.68,21,302.29,6899.65,5,0,0,0
C100218,78572.54,5238.17,15,462.07,32093.72,4,0,0,0
C100219,75622.42,3980.13,19,391.09,12611.25,1,0,0,0
C100220,120660.12,5745.72,21,789.0,39676.67,4,1,0,0
C100221,128010.59,5565.68,23,290.97,25408.44,1,0,0,0
C100222,34185.35,4273.17,8,581.26,8587.05,4,0,0,0
C100223,74346.27,5310.45,14,259.26,13581.83,3,0,0,0
C100224,84747.67,3531.15,24,353.86,10581.42,7,0,1,0
C100225,129851.36,5645.71,23,956.93,15324.37,7,0,0,0
C100226,57389.11,3586.82,16,459.15,8511.66,3,0,0,0
C100227,127128.27,6690.96,19,256.88,22654.11,3,0,0,0
C100228,99948.53,6663.24,15,232.96,29042.82,4,0,2,0
C100229,67447.92,4215.5,16,643.16,12328.54,5,0,0,0
C100230,121597.18,4676.81,26,480.21,14409.44,6,0,1,0
C100231,68796.15,3620.85,19,649.06,12124.25,2,0,0,0
C100232,47325.8,2366.29,20,283.42,7036.57,2,0,2,0
C100233,116472.0,5294.18,22,137.46,35754.22,5,0,0,0
C100234,79736.71,3624.4,22,262.32,16637.69,5,0,1,0
C100235,127053.73,8470.25,15,306.82,23401.54,2,0,0,0
C100236,122915.38,5853.11,21,480.44,26493.8,6,2,0,0
C100237,167467.01,7974.62,21,1049.23,44669.43,8,1,1,0
C100238,82587.61,3058.8,27,571.31,14635.68,8,0,0,0
C100239,64891.87,3090.09,21,111.21,13242.63,3,0,2,0
C100240,24762.61,2063.55,12,436.33,6128.35,2,0,1,0
C100241,101663.04,4841.1,21,862.43,18174.27,1,0,0,0
C100242,65457.38,5035.18,13,607.58,16699.06,3,0,0,0
C100243,69051.34,4315.71,16,899.15,14943.9,1,0,0,0
C100244,68674.31,3433.72,20,513.55,10104.0,3,0,0,0
C100245,117914.51,5895.73,20,461.98,16756.35,6,0,1,0
C100246,97517.69,4063.24,24,350.38,14406.19,6,0,0,0
C100247,75672.28,4729.52,16,293.15,20219.92,3,0,2,0
C100248,85111.56,4479.56,19,107.04,13739.09,3,0,1,0
C100249,55639.64,5058.15,11,484.25,33440.14,2,0,0,0
C100250,79646.06,3982.3,20,156.17,14856.1,3,0,0,0
C100251,99585.91,4149.41,24,408.16,16108.26,8,1,0,0
C100252,30751.38,2562.62,12,288.53,3988.92,3,0,0,0
C100253,105142.6,6571.41,16,414.81,23344.86,5,0,0,0
C100254,138948.12,4791.31,29,181.75,40729.87,4,0,1,0
C100255,90270.85,5310.05,17,416.84,32257.0,3,0,0,0
C100256,120466.55,6692.59,18,517.83,30158.97,5,0,1,0
C100257,60953.98,3809.62,16,445.21,14631.51,5,0,1,0
C100258,64600.55,4969.27,13,361.69,21639.24,3,0,0,0
C100259,48261.02,3447.22,14,599.51,19578.38,4,0,0,0
C100260,52902.35,3526.82,15,857.7,8419.28,3,0,1,0
C100261,100230.73,4772.89,21,351.65,16901.18,4,0,0,0
C100262,157504.91,6562.7,24,498.36,45312.01,8,0,2,0
C100263,106278.41,4620.8,23,89.73,23442.61,2,0,0,0
C100264,87654.0,4869.67,18,441.04,24881.94,2,0,0,0
C100265,60773.55,3798.35,16,787.7,8742.03,3,0,2,0
C100266,73608.62,3200.37,23,475.22,12133.2,3,1,1,0
C100267,23011.05,2876.38,8,801.13,6299.37,2,0,0,0
C100268,78356.28,4124.01,19,481.38,16714.19,6,0,0,0
C100269,62743.47,5703.95,11,1937.4,21443.37,3,0,0,0
C100270,147117.19,6129.88,24,191.14,39645.39,5,0,0,0
C100271,58570.58,3253.92,18,414.82,8248.69,1,0,0,0
C100272,108713.6,5435.68,20,144.86,44512.1,5,0,0,0
C100273,151246.1,5215.38,29,336.6,27899.98,5,0,1,0
C100274,191789.56,6392.99,30,301.13,24676.52,5,0,3,0
C100275,42804.85,3292.68,13,366.37,7591.85,3,0,1,0
C100276,58962.36,4211.6,14,594.12,9563.39,3,0,0,0
C100277,97297.63,4864.88,20,355.36,18814.04,3,0,0,0
C100278,109847.48,4993.07,22,226.58,23794.4,3,1,1,0
C100279,53173.92,3323.37,16,372.67,10862.3,3,0,1,0
C100280,83209.72,4622.76,18,804.38,15183.04,4,0,0,0
C100281,52962.04,2648.1,20,316.9,11465.04,4,0,0,0
C100282,135084.29,5403.37,25,458.52,21718.51,9,0,0,0
C100283,95293.52,4537.79,21,305.49,11254.86,4,0,2,0
C100284,35211.43,3201.04,11,880.6,7268.49,1,0,1,0
C100285,62972.85,4198.19,15,572.18,12394.16,3,0,0,0
C100286,43218.81,2701.18,16,239.12,8953.27,1,0,0,0
C100287,79672.75,3793.94,21,272.41,21337.33,4,0,0,0
C100288,72587.28,3820.38,19,299.07,19815.77,3,0,0,0
C100289,78131.31,4883.21,16,113.68,12850.35,4,0,0,0
C100290,133937.12,7440.95,18,308.47,23674.55,5,0,1,0
C100291,84534.23,3675.4,23,325.41,20256.76,7,0,2,0
C100292,87495.51,3977.07,22,386.93,24313.18,5,0,1,0
C100293,53173.68,2798.61,19,871.67,14649.19,0,0,1,0
C100294,86335.52,3753.72,23,75.99,17688.31,3,0,0,0
C100295,60586.34,3029.32,20,624.62,14358.24,2,0,2,0
C100296,61153.33,4076.89,15,887.24,10661.51,4,0,0,0
C100297,77237.94,4827.37,16,967.6,17208.61,1,0,0,0
C100298,47620.92,2506.36,19,389.55,9195.81,2,0,1,0
C100299,140217.84,5007.78,28,680.78,16816.05,8,0,1,0
C100300,157823.35,5636.55,28,461.28,23175.66,3,0,2,0
C100301,100681.12,4195.05,24,183.14,15618.08,4,0,0,0
C100302,119056.5,4252.02,28,1114.08,15950.89,11,0,2,0
C100303,96195.33,5062.91,19,1111.62,23103.0,5,0,1,0
C100304,105535.19,8118.09,13,886.44,30641.54,0,0,1,0
C100305,67187.58,4199.22,16,160.23,18212.16,3,0,0,0
C100306,47497.64,3392.69,14,249.17,10044.13,2,0,0,0
C100307,49234.13,2591.27,19,923.44,7937.33,3,0,0,0
C100308,88987.93,3707.83,24,217.95,12070.71,4,0,1,0
C100309,53087.02,3122.77,17,263.12,9025.56,4,0,1,0
C100310,98127.85,6132.99,16,282.24,23812.67,3,0,0,0
C100311,94926.81,4520.32,21,420.38,13535.43,2,0,0,0
C100312,122759.83,4384.28,28,586.22,35217.73,5,0,0,0
C100313,159165.69,5895.03,27,245.21,29123.17,6,0,0,0
C100314,90627.63,4531.38,20,211.24,14252.62,1,0,2,0
C100315,52091.69,2893.98,18,107.16,21978.42,3,0,1,0
C100316,56055.65,3503.48,16,420.89,8127.52,4,0,0,0
C100317,84829.82,3534.58,24,362.94,15793.44,6,0,2,0
C100318,121405.6,4669.45,26,341.75,29172.07,4,0,2,0
C100319,126337.33,4679.16,27,143.13,26685.56,4,0,1,0
C100320,50715.37,2817.52,18,621.35,15121.05,4,0,1,0
C100321,67118.05,3728.78,18,368.18,11965.44,3,0,0,0
C100322,47355.76,3382.55,14,587.62,6644.91,0,0,0,0
C100323,66630.27,4164.39,16,547.13,13037.92,3,0,1,0
C100324,103006.26,5150.31,20,333.7,19317.48,3,0,0,0
C100325,79477.37,2943.61,27,232.99,11249.34,4,1,1,0
C100326,95907.27,4567.01,21,201.42,23597.74,5,0,1,0
C100327,102491.75,7320.84,14,407.33,69953.51,3,0,0,0
C100328,96973.64,4848.68,20,293.68,25820.38,8,0,1,0
C100329,45968.68,3536.05,13,463.08,14374.63,3,0,0,0
C100330,36966.6,3696.66,10,1317.62,12310.64,1,1,0,0
C100331,81901.75,4310.62,19,592.55,26012.0,2,0,0,0
C100332,70908.27,3939.35,18,476.5,10800.09,4,0,0,0
C100333,51634.9,3037.35,17,823.32,8322.29,3,0,1,0
C100334,89908.81,3746.2,24,321.38,14159.74,6,0,0,0
C100335,158908.76,6356.35,25,725.66,60810.93,5,0,0,0
C100336,78586.26,3929.31,20,292.07,15042.32,5,0,0,0
C100337,93142.32,6209.49,15,1111.77,56618.33,5,0,1,0
C100338,33390.78,4173.85,8,1089.47,9130.93,2,0,0,0
C100339,46135.69,3295.41,14,860.99,10916.19,4,0,0,0
C100340,53219.76,2956.65,18,356.38,13926.84,6,0,1,0
C100341,28935.22,2411.27,12,376.81,4966.65,1,0,0,0
C100342,55123.24,3445.2,16,466.47,8555.0,3,0,0,0
C100343,62807.64,3489.31,18,249.26,17005.03,2,0,0,0
C100344,82628.92,4860.52,17,976.78,27735.04,2,1,1,0
C100345,78371.45,4353.97,18,1105.58,19740.42,4,1,0,0
C100346,122987.0,6473.0,19,483.39,29760.02,6,0,1,0
C100347,49215.53,2590.29,19,459.39,8010.4,7,0,0,0
C100348,100336.78,4777.94,21,769.22,20635.86,5,0,1,0
C100349,71751.02,5125.07,14,517.79,14103.99,3,0,2,0
C100350,58559.07,3082.06,19,369.3,17376.1,5,0,2,0
C100351,95439.37,4771.97,20,566.1,17336.69,2,0,1,0
C100352,63768.62,4554.9,14,160.99,22007.29,2,0,1,0
C100353,103888.26,5194.41,20,978.47,25281.42,3,0,1,0
C100354,57371.18,3824.75,15,636.61,13558.23,2,1,0,0
C100355,70411.15,3911.73,18,270.45,15549.93,3,0,0,0
C100356,67467.03,3550.9,19,420.81,12350.64,2,0,1,0
C100357,52044.49,3717.46,14,268.8,10427.86,4,0,1,0
C100358,79089.5,4652.32,17,650.86,22399.88,4,0,0,0
C100359,138404.96,6590.71,21,329.06,17926.63,2,0,0,0
C100360,53059.28,3537.29,15,679.76,7815.96,0,0,3,0
C100361,137013.41,5708.89,24,336.37,29473.23,4,0,0,0
C100362,47741.08,2983.82,16,606.37,12089.08,2,0,0,0
C100363,87338.06,4366.9,20,421.86,14557.95,4,0,1,0
C100364,91150.95,5696.93,16,540.15,28401.57,2,0,0,0
C100365,47937.54,3424.11,14,886.29,7403.91,3,0,0,0
C100366,103057.16,3553.7,29,493.81,15930.75,5,0,0,0
C100367,112022.53,4667.61,24,378.31,12786.84,2,0,1,0
C100368,29319.83,3664.98,8,294.96,10317.41,0,0,0,0
C100369,51878.81,5764.31,9,720.25,27721.77,3,0,0,0
C100370,131407.97,6570.4,20,742.33,36406.29,1,0,0,0
C100371,102131.7,5106.58,20,145.05,38305.74,3,0,0,0
C100372,95687.75,3680.3,26,470.75,14313.86,7,0,0,0
C100373,23543.15,2615.91,9,423.26,5201.84,2,0,0,0
C100374,83413.91,3208.23,26,258.58,17116.73,3,0,0,0
C100375,107574.83,4137.49,26,364.33,20484.66,4,0,2,0
C100376,86775.06,4338.75,20,201.9,13736.69,4,0,0,0
C100377,49588.51,3305.9,15,162.36,9171.38,5,0,2,0
C100378,87242.77,3965.58,22,533.23,17246.57,3,0,3,0
C100379,72048.12,3602.41,20,255.39,20711.28,5,0,1,0
C100380,53150.25,4831.84,11,219.26,14207.92,1,0,0,0
C100381,61414.71,4724.21,13,544.07,17761.57,1,0,0,0
C100382,78505.27,4906.58,16,737.18,34310.9,1,0,0,0
C100383,76013.76,2815.32,27,516.16,13929.59,2,0,1,0
C100384,110467.19,4248.74,26,591.21,32104.51,4,0,1,0
C100385,87109.88,5124.11,17,497.46,18809.57,4,0,1,0
C100386,86154.02,5067.88,17,492.67,41368.23,2,0,1,0
C100387,70482.31,3203.74,22,702.86,6879.17,4,1,1,0
C100388,107964.0,4318.56,25,259.2,26478.74,5,0,0,0
C100389,62722.0,3920.12,16,651.44,22738.88,5,0,0,0
C100390,99592.03,4979.6,20,933.13,14196.45,4,0,0,0
C100391,141351.03,6425.05,22,185.96,33736.53,4,0,0,0
C100392,55592.55,2925.92,19,402.19,8058.96,5,0,0,0
C100393,54671.04,3644.74,15,597.87,14694.33,4,0,0,0
C100394,70890.29,4430.64,16,511.2,15845.93,1,0,0,0
C100395,110733.28,6513.72,17,344.33,26106.12,4,0,1,0
C100396,58602.63,2930.13,20,313.61,23493.95,3,0,0,0
C100397,36052.21,3004.35,12,579.89,6062.97,2,0,2,0
C100398,117575.94,4899.0,24,515.6,21782.2,3,0,1,0
C100399,33530.81,3353.08,10,716.64,7576.2,2,0,0,0
C100400,62761.89,2988.66,21,213.15,8899.76,3,0,1,0
C100401,87163.18,5447.7,16,819.33,22625.51,4,0,0,0
C100402,76128.82,6344.07,12,310.08,37444.38,3,0,0,0
C100403,105366.13,4789.37,22,203.08,22216.11,4,0,2,0
C100404,140014.04,5185.71,27,609.95,22904.16,7,0,0,0
C100405,60253.76,4634.9,13,460.72,12036.42,3,0,2,0
C100406,89946.11,3747.75,24,302.97,19379.85,7,0,2,0
C100407,40659.94,2710.66,15,441.61,9177.13,2,0,0,0
C100408,62557.37,2843.52,22,213.9,10691.15,2,0,1,0
C100409,149326.54,6787.57,22,382.23,30023.7,5,0,0,0
C100410,76975.33,3498.88,22,217.44,10834.63,7,0,0,0
C100411,105562.76,4398.45,24,159.91,17817.3,2,0,2,0
C100412,80835.91,4041.8,20,367.29,16168.62,4,0,1,0
C100413,82994.02,4610.78,18,324.86,14937.22,1,1,0,0
C100414,104263.67,5792.43,18,386.5,38673.36,2,0,0,0
C100415,95077.63,5004.09,19,1380.21,21256.76,5,0,0,0
C100416,88270.16,6305.01,14,571.39,37787.4,4,1,0,0
C100417,54551.01,2871.11,19,446.52,17945.53,7,0,0,0
C100418,126609.23,4220.31,30,406.48,18293.42,6,0,0,0
