sender_id,tx_count,counterparties,avg_amount,tx_window_days,tx_per_day
C100147,19,19,3301.46,91,0.209
C100148,24,23,5485.04,95,0.253
C100149,21,19,4319.13,90,0.233
C100150,22,22,4415.3,86,0.256
C100151,27,27,4853.8,88,0.307
C100152,18,18,3053.0,76,0.237
C100153,23,23,5851.04,84,0.274
C100154,23,23,5392.21,82,0.28
C100155,24,24,4498.63,87,0.276
C100156,20,19,5459.41,83,0.241
C100157,11,11,4158.63,82,0.134
C100158,13,13,3673.94,71,0.183
C100159,24,23,4109.35,88,0.273
C100160,14,14,4105.7,69,0.203
C100161,19,19,5750.96,85,0.224
C100162,17,17,5199.2,78,0.218
C100163,14,13,4125.3,79,0.177
C100164,24,24,4175.19,91,0.264
C100165,12,12,6943.61,91,0.132
C100166,18,18,5658.23,88,0.205
C100167,23,23,3822.19,86,0.267
C100168,20,20,5884.52,85,0.235
C100169,23,23,3216.92,92,0.25
C100170,16,16,3585.33,89,0.18
C100171,20,20,4150.27,89,0.225
C100172,20,20,4433.09,94,0.213
C100173,20,20,6459.38,87,0.23
C100174,19,19,5249.12,81,0.235
C100175,20,20,3463.97,94,0.213
C100176,21,21,4612.99,87,0.241
C100177,27,26,5130.67,92,0.293
C100178,14,14,4506.1,84,0.167
C100179,22,22,4160.4,92,0.239
C100180,20,19,3416.01,90,0.222
C100181,18,18,6589.01,88,0.205
C100182,27,27,4394.27,88,0.307
C100183,25,25,4135.44,91,0.275
C100184,21,21,3566.1,94,0.223
C100185,22,22,4927.58,82,0.268
C100186,13,13,2548.69,83,0.157
C100187,15,15,5234.69,79,0.19
C100188,19,18,3142.3,95,0.2
C100189,12,12,3275.78,62,0.194
C100190,18,18,4931.41,73,0.247
C100191,19,19,5024.01,85,0.224
C100192,14,14,3024.91,82,0.171
C100193,18,18,3445.66,84,0.214
C100194,15,15,4594.76,86,0.174
C100195,17,17,3450.15,92,0.185
C100196,26,26,5033.16,86,0.302
C100197,22,22,3063.75,91,0.242
C100198,18,17,3238.71,83,0.217
C100199,14,14,4720.02,88,0.159
C100200,16,16,5040.36,89,0.18
C100201,23,23,2566.94,82,0.28
C100202,15,15,2633.3,77,0.195
C100203,23,23,5724.94,92,0.25
C100204,14,14,3596.87,68,0.206
C100205,13,13,5184.28,89,0.146
C100206,22,22,3736.69,87,0.253
C100207,16,16,3451.7,89,0.18
C100208,22,22,6556.45,90,0.244
C100209,14,14,4514.26,86,0.163
C100210,19,19,4813.72,83,0.229
C100211,18,18,3773.51,86,0.209
C100212,18,18,5370.14,83,0.217
C100213,21,21,2780.06,87,0.241
C100214,23,23,5628.42,93,0.247
C100215,12,12,4318.39,69,0.174
C100216,13,13,4711.61,84,0.155
C100217,21,21,2458.68,91,0.231
C100218,15,15,5238.17,86,0.174
C100219,19,19,3980.13,82,0.232
C100220,21,21,5745.72,90,0.233
C100221,23,23,5565.68,84,0.274
C100222,8,8,4273.17,70,0.114
C100223,14,14,5310.45,84,0.167
C100224,24,24,3531.15,85,0.282
C100225,23,23,5645.71,93,0.247
C100226,16,16,3586.82,81,0.198
C100227,19,19,6690.96,75,0.253
C100228,15,15,6663.24,83,0.181
C100229,16,16,4215.5,84,0.19
C100230,26,25,4676.81,87,0.299
C100231,19,19,3620.85,85,0.224
C100232,20,20,2366.29,85,0.235
C100233,22,22,5294.18,84,0.262
C100234,22,22,3624.4,86,0.256
C100235,15,15,8470.25,92,0.163
C100236,21,21,5853.11,93,0.226
C100237,21,21,7974.62,92,0.228
C100238,27,27,3058.8,93,0.29
C100239,21,21,3090.09,86,0.244
C100240,12,12,2063.55,54,0.222
C100241,21,20,4841.1,90,0.233
C100242,13,13,5035.18,88,0.148
C100243,16,16,4315.71,88,0.182
C100244,20,20,3433.72,82,0.244
C100245,20,20,5895.73,84,0.238
C100246,24,23,4063.24,89,0.27
C100247,16,16,4729.52,89,0.18
C100248,19,18,4479.56,92,0.207
C100249,11,11,5058.15,61,0.18
C100250,20,20,3982.3,89,0.225
C100251,24,24,4149.41,88,0.273
C100252,12,12,2562.62,92,0.13
C100253,16,16,6571.41,90,0.178
C100254,29,27,4791.31,94,0.309
C100255,17,17,5310.05,87,0.195
C100256,18,18,6692.59,89,0.202
C100257,16,16,3809.62,84,0.19
C100258,13,13,4969.27,73,0.178
C100259,14,14,3447.22,71,0.197
C100260,15,15,3526.82,88,0.17
C100261,21,21,4772.89,93,0.226
C100262,24,23,6562.7,86,0.279
C100263,23,23,4620.8,92,0.25
C100264,18,18,4869.67,83,0.217
C100265,16,16,3798.35,87,0.184
C100266,23,23,3200.37,75,0.307
C100267,8,8,2876.38,85,0.094
C100268,19,19,4124.01,78,0.244
C100269,11,11,5703.95,87,0.126
C100270,24,24,6129.88,89,0.27
C100271,18,18,3253.92,91,0.198
C100272,20,20,5435.68,76,0.263
C100273,29,29,5215.38,86,0.337
C100274,30,30,6392.99,89,0.337
C100275,13,13,3292.68,79,0.165
C100276,14,14,4211.6,90,0.156
C100277,20,19,4864.88,87,0.23
C100278,22,22,4993.07,92,0.239
C100279,16,16,3323.37,93,0.172
C100280,18,18,4622.76,82,0.22
C100281,20,20,2648.1,85,0.235
C100282,25,25,5403.37,88,0.284
C100283,21,21,4537.79,94,0.223
C100284,11,11,3201.04,91,0.121
C100285,15,15,4198.19,68,0.221
C100286,16,16,2701.18,90,0.178
C100287,21,21,3793.94,94,0.223
C100288,19,19,3820.38,91,0.209
C100289,16,16,4883.21,62,0.258
C100290,18,18,7440.95,86,0.209
C100291,23,22,3675.4,88,0.261
C100292,22,22,3977.07,75,0.293
C100293,19,19,2798.61,80,0.238
C100294,23,23,3753.72,89,0.258
C100295,20,20,3029.32,81,0.247
C100296,15,15,4076.89,89,0.169
C100297,16,16,4827.37,84,0.19
C100298,19,19,2506.36,85,0.224
C100299,28,28,5007.78,90,0.311
C100300,28,27,5636.55,90,0.311
C100301,24,24,4195.05,90,0.267
C100302,28,28,4252.02,93,0.301
C100303,19,19,5062.91,81,0.235
C100304,13,13,8118.09,84,0.155
C100305,16,15,4199.22,89,0.18
C100306,14,14,3392.69,94,0.149
C100307,19,19,2591.27,82,0.232
C100308,24,24,3707.83,93,0.258
C100309,17,17,3122.77,84,0.202
C100310,16,16,6132.99,86,0.186
C100311,21,20,4520.32,87,0.241
C100312,28,28,4384.28,77,0.364
C100313,27,27,5895.03,79,0.342
C100314,20,20,4531.38,85,0.235
C100315,18,18,2893.98,85,0.212
C100316,16,16,3503.48,85,0.188
C100317,24,23,3534.58,92,0.261
C100318,26,26,4669.45,90,0.289
C100319,27,27,4679.16,94,0.287
C100320,18,18,2817.52,91,0.198
C100321,18,18,3728.78,86,0.209
C100322,14,14,3382.55,80,0.175
C100323,16,16,4164.39,64,0.25
C100324,20,20,5150.31,83,0.241
C100325,27,26,2943.61,90,0.3
C100326,21,20,4567.01,90,0.233
C100327,14,14,7320.84,80,0.175
C100328,20,20,4848.68,88,0.227
C100329,13,13,3536.05,82,0.159
C100330,10,10,3696.66,84,0.119
C100331,19,19,4310.62,85,0.224
C100332,18,18,3939.35,89,0.202
C100333,17,17,3037.35,91,0.187
C100334,24,24,3746.2,91,0.264
C100335,25,25,6356.35,86,0.291
C100336,20,20,3929.31,93,0.215
C100337,15,14,6209.49,89,0.169
C100338,8,8,4173.85,64,0.125
C100339,14,13,3295.41,95,0.147
C100340,18,18,2956.65,87,0.207
C100341,12,12,2411.27,74,0.162
C100342,16,16,3445.2,88,0.182
C100343,18,18,3489.31,82,0.22
C100344,17,17,4860.52,88,0.193
C100345,18,18,4353.97,89,0.202
C100346,19,19,6473.0,90,0.211
C100347,19,18,2590.29,88,0.216
C100348,21,20,4777.94,80,0.262
C100349,14,14,5125.07,55,0.255
C100350,19,19,3082.06,86,0.221
C100351,20,20,4771.97,83,0.241
C100352,14,14,4554.9,84,0.167
C100353,20,20,5194.41,84,0.238
C100354,15,15,3824.75,89,0.169
C100355,18,18,3911.73,74,0.243
C100356,19,19,3550.9,86,0.221
C100357,14,14,3717.46,93,0.151
C100358,17,17,4652.32,88,0.193
C100359,21,20,6590.71,88,0.239
C100360,15,15,3537.29,59,0.254
C100361,24,24,5708.89,91,0.264
C100362,16,16,2983.82,69,0.232
C100363,20,20,4366.9,78,0.256
C100364,16,16,5696.93,63,0.254
C100365,14,14,3424.11,71,0.197
C100366,29,29,3553.7,93,0.312
C100367,24,23,4667.61,88,0.273
C100368,8,8,3664.98,91,0.088
C100369,9,9,5764.31,78,0.115
C100370,20,20,6570.4,80,0.25
C100371,20,20,5106.58,83,0.241
C100372,26,26,3680.3,79,0.329
C100373,9,9,2615.91,83,0.108
C100374,26,26,3208.23,86,0.302
C100375,26,26,4137.49,94,0.277
C100376,20,20,4338.75,86,0.233
C100377,15,15,3305.9,76,0.197
C100378,22,22,3965.58,83,0.265
C100379,20,20,3602.41,83,0.241
C100380,11,11,4831.84,80,0.138
C100381,13,13,4724.21,89,0.146
C100382,16,16,4906.58,77,0.208
C100383,27,27,2815.32,93,0.29
C100384,26,25,4248.74,89,0.292
C100385,17,17,5124.11,87,0.195
C100386,17,17,5067.88,81,0.21
C100387,22,21,3203.74,93,0.237
C100388,25,25,4318.56,84,0.298
C100389,16,16,3920.12,67,0.239
C100390,20,20,4979.6,90,0.222
C100391,22,22,6425.05,94,0.234
C100392,19,19,2925.92,90,0.211
C100393,15,15,3644.74,86,0.174
C100394,16,14,4430.64,91,0.176
C100395,17,17,6513.72,89,0.191
C100396,20,20,2930.13,78,0.256
C100397,12,12,3004.35,79,0.152
C100398,24,24,4899.0,90,0.267
C100399,10,10,3353.08,78,0.128
C100400,21,21,2988.66,60,0.35
C100401,16,15,5447.7,72,0.222
C100402,12,12,6344.07,92,0.13
C100403,22,21,4789.37,90,0.244
C100404,27,27,5185.71,89,0.303
C100405,13,13,4634.9,78,0.167
C100406,24,24,3747.75,80,0.3
C100407,15,15,2710.66,83,0.181
C100408,22,22,2843.52,80,0.275
C100409,22,21,6787.57,92,0.239
C100410,22,22,3498.88,93,0.237
C100411,24,24,4398.45,94,0.255
C100412,20,20,4041.8,71,0.282
C100413,18,18,4610.78,81,0.222
C100414,18,18,5792.43,94,0.191
C100415,19,18,5004.09,94,0.202
C100416,14,14,6305.01,92,0.152
C100417,19,19,2871.11,80,0.238
C100418,30,29,4220.31,95,0.316
C100419,17,17,4905.33,95,0.179
C100420,20,20,4902.51,93,0.215
C100421,17,17,8678.44,83,0.205
C100422,16,16,3356.83,89,0.18
C100423,21,21,3410.9,91,0.231
C100424,27,27,2933.52,91,0.297
C100425,14,14,2572.12,89,0.157
C100426,23,23,4984.26,86,0.267
C100427,22,21,6535.95,85,0.259
C100428,18,18,4788.28,82,0.22
C100429,16,15,4157.48,85,0.188
C100430,12,12,4196.17,90,0.133
C100431,14,14,6131.92,85,0.165
C100432,13,13,8748.31,82,0.159
C100433,17,17,4926.94,83,0.205
C100434,14,14,9281.92,92,0.152
C100435,22,22,5758.1,85,0.259
C100436,21,20,3509.83,88,0.239
C100437,17,17,3501.23,91,0.187
C100438,12,12,4574.48,73,0.164
C100439,16,16,4588.08,73,0.219
C100440,14,14,6476.2,85,0.165
C100441,16,16,4258.31,77,0.208
C100442,20,20,4084.4,74,0.27
C100443,17,17,3408.35,91,0.187
C100444,16,16,3815.56,88,0.182
C100445,21,21,3979.76,91,0.231
C100446,16,16,3982.39,82,0.195
C100447,23,23,3614.14,74,0.311
C100448,18,18,2816.08,78,0.231
C100449,23,23,2166.71,88,0.261
C100450,23,23,3831.3,91,0.253
C100451,20,20,4376.39,92,0.217
C100452,16,16,3656.68,89,0.18
C100453,16,16,3303.08,90,0.178
C100454,19,19,6361.63,84,0.226
C100455,22,22,3408.89,83,0.265
C100456,24,24,5280.6,92,0.261
C100457,21,21,3477.59,86,0.244
C100458,17,17,4411.43,85,0.2
C100459,21,21,1829.21,75,0.28
C100460,28,28,5994.04,86,0.326
C100461,24,23,4035.41,80,0.3
C100462,15,15,6378.86,85,0.176
C100463,18,18,5023.15,89,0.202
C100464,17,17,3790.07,84,0.202
C100465,20,19,4078.74,84,0.238
C100466,23,23,3822.71,80,0.288
C100467,26,26,4749.44,92,0.283
C100468,16,16,4409.85,82,0.195
C100469,19,19,3752.15,93,0.204
C100470,24,23,3596.87,94,0.255
C100471,19,19,4993.93,90,0.211
C100472,22,22,6100.33,93,0.237
C100473,17,17,4136.22,94,0.181
C100474,29,28,3546.96,94,0.309
C100475,23,22,4349.13,88,0.261
C100476,20,20,5795.22,94,0.213
C100477,15,15,3953.21,92,0.163
C100478,26,26,4689.69,88,0.295
C100479,16,16,2842.49,77,0.208
C100480,22,22,2807.98,93,0.237
C100481,21,21,5597.32,92,0.228
C100482,19,18,4457.29,76,0.25
C100483,17,17,7701.04,85,0.2
C100484,19,19,3300.6,83,0.229
C100485,17,17,4519.16,89,0.191
C100486,23,23,3824.37,92,0.25
C100487,16,16,4450.96,91,0.176
C100488,24,23,2968.39,85,0.282
C100489,21,21,6185.83,87,0.241
C100490,19,19,3628.78,88,0.216
C100491,16,16,9028.34,84,0.19
C100492,20,20,4965.98,90,0.222
C100493,30,30,6146.55,92,0.326
C100494,21,21,3323.99,88,0.239
C100495,18,18,5537.4,84,0.214
C100496,23,23,3113.26,91,0.253
C100497,21,21,4593.01,89,0.236
C100498,20,19,3571.61,81,0.247
C100499,18,18,3949.53,89,0.202
C100500,19,19,3417.12,95,0.2
C100501,19,18,3090.67,85,0.224
C100502,16,16,5222.47,90,0.178
C100503,19,19,3846.56,90,0.211
C100504,21,21,5010.22,93,0.226
C100505,19,19,3079.58,90,0.211
C100506,25,25,4079.04,93,0.269
C100507,21,21,3889.64,89,0.236
C100508,17,17,4286.46,92,0.185
C100509,19,19,5581.6,92,0.207
C100510,21,21,6019.78,90,0.233
C100511,12,12,4523.38,72,0.167
C100512,16,16,5046.83,90,0.178
C100513,19,19,2459.4,89,0.213
C100514,16,16,6973.06,92,0.174
C100515,18,18,3746.07,89,0.202
C100516,15,15,3375.46,85,0.176
C100517,24,23,5413.43,81,0.296
C100518,21,21,3323.67,83,0.253
C100519,23,23,4761.05,93,0.247
C100520,10,10,2826.12,83,0.12
C100521,23,23,4696.83,83,0.277
C100522,20,20,3240.61,94,0.213
C100523,20,20,3858.93,93,0.215
C100524,14,14,4206.54,74,0.189
C100525,21,21,3766.94,90,0.233
C100526,19,19,6612.78,93,0.204
C100527,19,19,4383.31,75,0.253
C100528,14,14,5811.08,73,0.192
C100529,16,16,3590.01,83,0.193
C100530,12,12,5862.02,70,0.171
C100531,12,12,5124.75,76,0.158
C100532,13,13,4572.01,65,0.2
C100533,18,18,2921.8,93,0.194
C100534,18,18,3645.6,92,0.196
C100535,19,19,4048.77,91,0.209
C100536,23,22,4253.95,84,0.274
C100537,13,13,5151.15,89,0.146
C100538,12,12,4047.21,89,0.135
C100539,13,13,3344.67,52,0.25
C100540,22,22,3602.35,93,0.237
C100541,17,17,4567.52,67,0.254
C100542,14,14,2836.1,60,0.233
C100543,21,21,2998.15,83,0.253
C100544,23,23,5723.63,84,0.274
C100545,15,15,3533.86,71,0.211
C100546,21,21,7081.06,81,0.259
C100547,24,24,5648.69,93,0.258
C100548,23,22,2832.92,94,0.245
C100549,20,20,4997.47,59,0.339
C100550,27,27,4875.98,84,0.321
C100551,14,14,4962.23,71,0.197
C100552,20,20,4763.74,88,0.227
C100553,22,22,3472.15,94,0.234
C100554,14,14,6576.56,67,0.209
C100555,19,19,5463.13,93,0.204
C100556,22,22,4847.79,90,0.244
C100557,17,16,4679.74,87,0.195
C100558,26,26,3270.91,90,0.289
C100559,18,18,3481.04,88,0.205
C100560,13,13,4216.88,79,0.165
C100561,21,21,3824.22,80,0.262
C100562,15,14,3544.67,87,0.172
C100563,15,15,5208.56,83,0.181
C100564,22,21,3809.59,94,0.234
C100565,15,15,5064.25,87,0.172
C100566,15,15,4190.62,93,0.161
C100567,23,23,5795.6,94,0.245
C100568,25,23,3686.03,93,0.269
C100569,22,22,3611.86,89,0.247
C100570,13,13,5172.92,91,0.143
C100571,14,14,4046.83,85,0.165
C100572,15,15,4357.48,84,0.179
C100573,19,18,3143.21,86,0.221
C100574,14,14,2945.18,65,0.215
C100575,21,21,8728.35,85,0.247
C100576,16,16,4422.53,92,0.174
C100577,20,20,3554.46,91,0.22
C100578,15,15,3887.76,72,0.208
C100579,17,17,4777.16,92,0.185
C100580,19,19,5282.22,89,0.213
C100581,20,19,4755.48,87,0.23
C100582,21,21,2121.36,91,0.231
C100583,17,17,6187.74,87,0.195
C100584,18,18,7645.07,78,0.231
C100585,23,22,3932.0,89,0.258
C100586,11,11,3884.89,89,0.124
C100587,21,21,3020.65,68,0.309
C100588,19,19,5468.08,92,0.207
C100589,20,20,4023.58,94,0.213
C100590,35,35,4700.22,85,0.412
C100591,21,21,4521.93,87,0.241
C100592,23,23,3554.76,89,0.258
C100593,21,21,5671.62,80,0.262
C100594,24,24,5707.46,88,0.273
C100595,22,22,4242.95,86,0.256
C100596,20,20,3524.9,83,0.241
C100597,19,19,3615.54,90,0.211
C100598,22,22,3034.0,81,0.272
C100599,17,17,2696.94,84,0.202
C100600,22,22,3904.45,87,0.253
C100601,23,23,4179.48,89,0.258
C100602,17,17,3250.32,86,0.198
C100603,19,19,3992.92,92,0.207
C100604,26,26,3352.46,92,0.283
C100605,24,24,4435.33,74,0.324
C100606,15,15,7224.36,86,0.174
C100607,17,17,6595.19,91,0.187
C100608,23,23,3262.17,93,0.247
C100609,21,21,5038.33,89,0.236
C100610,23,23,4797.1,90,0.256
C100611,31,31,4042.04,86,0.36
C100612,17,17,4280.1,76,0.224
C100613,24,24,4849.07,92,0.261
C100614,19,19,4509.26,93,0.204
C100615,14,14,3866.15,82,0.171
C100616,15,15,2647.95,90,0.167
C100617,23,23,3382.53,87,0.264
C100618,25,25,3306.01,86,0.291
C100619,13,13,3612.08,83,0.157
C100620,20,20,3761.38,77,0.26
C100621,24,24,3475.02,83,0.289
C100622,13,12,4167.51,75,0.173
C100623,20,20,2516.82,94,0.213
C100624,27,27,3874.65,85,0.318
C100625,11,11,3418.58,93,0.118
C100626,17,17,4647.65,89,0.191
C100627,14,14,5773.76,81,0.173
C100628,24,24,4849.12,92,0.261
C100629,17,17,4592.55,87,0.195
C100630,22,21,6914.5,90,0.244
C100631,20,20,3731.96,87,0.23
C100632,19,19,3105.44,76,0.25
C100633,22,22,4461.87,84,0.262
C100634,18,18,5511.06,79,0.228
C100635,24,22,2606.65,85,0.282
C100636,24,24,3843.38,91,0.264
C100637,22,22,4809.3,93,0.237
C100638,18,18,4520.31,72,0.25
C100639,16,16,4862.05,89,0.18
C100640,18,18,4932.24,88,0.205
C100641,17,17,4734.94,83,0.205
C100642,20,20,4328.72,72,0.278
C100643,14,14,3314.48,84,0.167
C100644,16,16,2194.7,92,0.174
C100645,11,11,3186.23,79,0.139
C100646,20,20,4959.12,86,0.233
C100647,28,28,4071.58,86,0.326
C100648,19,18,4782.78,86,0.221
C100649,19,19,2775.49,77,0.247
C100650,22,22,4135.89,83,0.265
C100651,20,20,4074.0,74,0.27
C100652,11,11,4271.35,80,0.138
C100653,21,20,5426.95,88,0.239
C100654,19,19,6796.13,87,0.218
C100655,13,13,3639.05,77,0.169
C100656,23,23,3834.11,93,0.247
C100657,19,19,3298.54,94,0.202
C100658,18,18,8086.28,75,0.24
C100659,15,15,3931.49,85,0.176
C100660,24,24,4617.74,90,0.267
C100661,14,14,3448.74,90,0.156
C100662,25,24,3443.74,78,0.321
C100663,24,24,4525.39,89,0.27
C100664,16,16,2811.4,78,0.205
C100665,19,19,3202.44,77,0.247
C100666,27,27,3694.13,87,0.31
C100667,19,19,4406.47,91,0.209
C100668,14,14,2750.42,83,0.169
C100669,14,14,5144.09,92,0.152
C100670,20,20,1958.97,92,0.217
C100671,15,15,5761.68,79,0.19
C100672,21,20,5762.21,89,0.236
C100673,12,12,2937.86,87,0.138
C100674,16,16,4482.92,87,0.184
C100675,22,21,2375.54,82,0.268
C100676,17,17,4374.52,87,0.195
C100677,20,20,7166.18,80,0.25
C100678,14,14,4878.41,86,0.163
C100679,25,25,4019.12,93,0.269
C100680,21,21,5824.65,90,0.233
C100681,16,16,4349.04,94,0.17
C100682,21,21,3797.99,92,0.228
C100683,18,18,6433.46,85,0.212
C100684,16,16,5260.36,91,0.176
C100685,21,21,2918.15,89,0.236
C100686,16,16,2239.95,90,0.178
C100687,16,16,4937.8,81,0.198
C100688,20,20,3427.04,91,0.22
C100689,21,21,2688.53,78,0.269
C100690,20,20,3498.99,89,0.225
C100691,19,19,3827.38,92,0.207
C100692,23,23,4731.15,80,0.288
C100693,21,21,6347.11,86,0.244
C100694,19,19,2935.61,87,0.218
C100695,21,21,3075.1,84,0.25
C100696,19,19,4383.79,86,0.221
C100697,19,19,4664.62,93,0.204
C100698,24,24,3312.76,87,0.276
C100699,20,19,3877.83,91,0.22
C100700,11,11,2241.86,81,0.136
C100701,19,19,4412.78,82,0.232
C100702,20,20,3573.26,94,0.213
C100703,26,26,4461.16,89,0.292
C100704,15,15,3004.19,77,0.195
C100705,10,10,4013.49,71,0.141
C100706,24,24,5862.2,86,0.279
C100707,20,20,3734.76,67,0.299
C100708,15,15,4336.96,88,0.17
C100709,17,17,5810.73,89,0.191
C100710,28,28,3447.63,89,0.315
C100711,17,16,3518.02,93,0.183
C100712,20,20,4377.98,87,0.23
C100713,14,13,4306.35,91,0.154
C100714,23,22,4658.33,86,0.267
C100715,20,20,2956.32,69,0.29
C100716,26,26,3204.8,80,0.325
C100717,12,12,4804.08,85,0.141
C100718,21,21,4256.79,91,0.231
C100719,20,20,3451.17,91,0.22
C100720,18,18,6104.3,92,0.196
C100721,18,18,3223.47,71,0.254
C100722,22,22,4534.1,92,0.239
C100723,11,11,1991.88,85,0.129
C100724,11,11,4875.29,90,0.122
C100725,23,23,4357.83,81,0.284
C100726,22,22,3919.11,81,0.272
C100727,15,15,3961.35,79,0.19
C100728,13,13,5606.05,86,0.151
C100729,17,17,2972.34,81,0.21
C100730,27,27,4984.04,88,0.307
C100731,17,16,4551.47,88,0.193
C100732,14,14,4217.84,77,0.182
