entity_id,entity_type,score,n_rules,rules,is_core_label,tier
C101230,client,16,7,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C101908,client,16,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100677,client,16,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R16_pep,R17_high_risk_mcc",0,alto
C102411,client,16,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,alto
C100067,client,16,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C101582,client,16,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100947,client,16,7,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc,R20_new_account",0,alto
C100404,client,16,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C101856,client,16,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,alto
C102339,client,16,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C100509,client,16,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,alto
C101435,client,16,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,alto
C100251,client,15,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C101720,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C102391,client,15,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100282,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C102206,client,15,6,"R05_geojump,R10_cash_in_out,R14_cross_border_high,R16_pep,R17_high_risk_mcc,R20_new_account",0,alto
C100364,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C102053,client,15,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R17_high_risk_mcc",0,alto
C101897,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100451,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C102137,client,15,6,"R04_income_mismatch,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C100809,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C101669,client,15,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc",0,alto
C102458,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100019,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100009,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C101942,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc,R20_new_account",0,alto
C101178,client,15,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C101118,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C102454,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C101167,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C101504,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R17_high_risk_mcc,R20_new_account",0,alto
C101508,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R16_pep,R17_high_risk_mcc",0,alto
C100842,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C102413,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C100071,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C100997,client,15,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R17_high_risk_mcc",0,alto
C100642,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C101819,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C101411,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C102357,client,15,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C102361,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C101278,client,15,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc",0,alto
C101277,client,15,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R15_sanctions,R16_pep,R17_high_risk_mcc",0,alto
C100935,client,15,6,"R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C100941,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C100938,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C100940,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C101783,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100228,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R16_pep,R17_high_risk_mcc",0,alto
C100876,client,15,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100874,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C101274,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C101413,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C101360,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C101842,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C100591,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C100931,client,15,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100138,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C101833,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C100130,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100136,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100042,client,15,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C100499,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C100949,client,15,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R17_high_risk_mcc",0,alto
C102299,client,15,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
M200363,client,15,6,"R05_geojump,R06_ip_anomaly,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100077,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C102446,client,15,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C101209,client,15,6,"R04_income_mismatch,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C101929,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C101210,client,14,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C102438,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101954,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C101126,client,14,5,"R05_geojump,R10_cash_in_out,R15_sanctions,R16_pep,R17_high_risk_mcc",0,medio
C100744,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C101647,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc,R19_installments_atypical",0,medio
C101225,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C100201,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C101821,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C100614,client,14,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101836,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101284,client,14,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C101956,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R17_high_risk_mcc,R20_new_account",0,medio
C100520,client,14,6,"R04_income_mismatch,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc,R20_new_account",0,medio
C100510,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C100584,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101853,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C100424,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C101344,client,14,6,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C102289,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C102284,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R17_high_risk_mcc,R20_new_account",0,medio
C100957,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C100134,client,14,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101011,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc,R20_new_account",0,medio
C101408,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101986,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C100546,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R13_eci_cross_border,R16_pep,R17_high_risk_mcc",0,medio
C100091,client,14,4,"R04_income_mismatch,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C101976,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C102057,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C102058,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C101066,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,medio
C102222,client,14,6,"R04_income_mismatch,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C100117,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R06_ip_anomaly,R12_ecom_no_3ds,R17_high_risk_mcc",0,medio
C101038,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,medio
C102362,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C101791,client,14,6,"R04_income_mismatch,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R16_pep,R17_high_risk_mcc",0,medio
C102032,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C102248,client,14,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C100830,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101496,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C100272,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101555,client,14,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101689,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C100790,client,14,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C100300,client,14,5,"R05_geojump,R09_self_merchant,R10_cash_in_out,R14_cross_border_high,R17_high_risk_mcc",0,medio
C102083,client,14,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc,R19_installments_atypical",0,medio
C100761,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C101598,client,14,6,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C100531,client,14,6,"R04_income_mismatch,R06_ip_anomaly,R12_ecom_no_3ds,R13_eci_cross_border,R16_pep,R17_high_risk_mcc",0,medio
C100335,client,14,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,medio
C100313,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C101918,client,14,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101904,client,14,6,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C101082,client,14,6,"R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C101445,client,14,5,"R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,medio
C101772,client,14,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C100648,client,14,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C102204,client,14,6,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R17_high_risk_mcc,R20_new_account",0,medio
C100514,client,13,6,"R02_burst_value,R04_income_mismatch,R05_geojump,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,medio
C100057,client,13,5,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc",0,medio
C101932,client,13,5,"R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,medio
C101928,client,13,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C100050,client,13,5,"R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,medio
C101354,client,13,5,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R17_high_risk_mcc",0,medio
C102307,client,13,5,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc",0,medio
C101355,client,13,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C101957,client,13,5,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R16_pep,R17_high_risk_mcc",0,medio
C101637,client,13,5,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R15_sanctions,R17_high_risk_mcc",0,medio
C101200,client,13,5,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R16_pep,R17_high_risk_mcc",0,medio
C101190,client,13,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C100568,client,13,5,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R15_sanctions,R17_high_risk_mcc",1,medio
C101409,client,13,5,"R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,medio
C100443,client,13,5,"R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,medio
C102001,client,13,5,"R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,medio
C101014,client,13,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
C101809,client,13,5,"R05_geojump,R10_cash_in_out,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,medio
C100556,client,13,5,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,medio
