customer_id,is_core_label,xgb_score,if_score,final_score,split,rules_score,n_rules,risk_tier_ml
C100953,0,0.76730794,0.535133395793263,0.6976555926210355,train,12,5,alto
C100935,1,0.7848497,0.49398530886036923,0.6975903790159904,train,15,6,alto
C101262,1,0.76382536,0.5370488964088024,0.6957924128343839,train,13,5,alto
C101551,1,0.7597907,0.5447452687842499,0.6952770776636258,test,13,5,alto
C100650,0,0.7780225,0.4980675347803924,0.6940360059785513,train,12,5,alto
C100313,1,0.7671522,0.5228299883048649,0.6938554938745771,test,14,5,alto
C101895,1,0.7671522,0.5223972264040069,0.6937256653043198,train,19,8,alto
C100177,0,0.7780225,0.49669249762138434,0.6936234948308488,train,17,7,alto
C102411,1,0.78121245,0.48708664326687956,0.692974707331718,train,16,6,alto
C102221,0,0.7743031,0.5025118281048646,0.6927657034874591,train,12,5,alto
C100744,0,0.7729984,0.5044356702663834,0.6924295937686662,train,14,6,alto
C102291,0,0.7660552,0.5190210295215573,0.6919449792055883,train,8,3,alto
C101908,1,0.74584484,0.5658218604637278,0.6918379468415109,train,16,6,alto
C100517,1,0.77738833,0.49214311985395187,0.691814746106332,train,20,8,alto
C100595,0,0.7848497,0.4744653146504142,0.6917343807530039,train,12,5,alto
C102362,0,0.7336178,0.5906219670388236,0.6907190498475174,train,14,6,alto
C101240,1,0.7599414,0.5272611280063922,0.6901373356515209,train,13,5,alto
C100237,0,0.7575469,0.5317886906338928,0.6898194026193976,train,19,8,alto
C101706,1,0.7848497,0.46335083819861056,0.6884000378174628,test,13,5,alto
C101523,0,0.7780225,0.4782757261471615,0.688098463388582,train,8,3,alto
C100772,0,0.7651428,0.5025266410298644,0.6863579392846674,train,12,5,alto
C102248,0,0.78107136,0.4606269582095963,0.6849380369181401,test,14,6,alto
C101038,0,0.78121245,0.46020593730632237,0.6849104955435508,train,14,6,alto
C102408,0,0.78107136,0.45604904245643696,0.6835646621921923,train,8,3,alto
C102137,1,0.763306,0.4963392540636008,0.6832159914023384,train,15,6,alto
C100136,0,0.78121245,0.4512462323893884,0.6822225840684706,train,15,6,alto
C100630,1,0.71130604,0.6137212927555288,0.682030612689711,train,13,5,alto
C102060,0,0.7464556,0.5307599909060483,0.6817469300911809,test,9,4,alto
C101775,0,0.7460151,0.5302281535503327,0.6812789844523984,train,20,8,alto
C100335,0,0.7848497,0.4374737035857339,0.6806368974335998,train,14,6,alto
C101535,0,0.763306,0.4859021655170565,0.680084864838375,train,13,5,alto
C100057,0,0.7671522,0.47644245296413223,0.6799392332723573,train,13,5,alto
C100842,0,0.7671522,0.47428202626819754,0.6792911052635769,train,15,6,alto
C100786,0,0.744896,0.526119568542528,0.6792630847084188,train,10,4,alto
C100424,0,0.763306,0.4774305319283371,0.6775433747617592,train,14,6,alto
C100072,0,0.76382536,0.4722175224880691,0.6763430006581639,train,10,4,alto
C100325,1,0.77738833,0.4384695869790951,0.675712686243875,train,13,5,alto
C101637,0,0.77001643,0.45463031851273455,0.6754005739778927,train,13,5,alto
C102253,1,0.7818388,0.42701878388762515,0.6753927416802645,train,12,4,alto
C100488,0,0.77738833,0.43577638898507814,0.6749047268456699,train,12,5,alto
C100478,0,0.7848497,0.4177707776618335,0.6747260196564298,train,10,4,alto
C100067,1,0.78121245,0.4236873363178726,0.6739549152470158,train,16,6,alto
C100947,0,0.7729984,0.43960741998581543,0.6729811186844958,train,16,7,alto
C100568,1,0.77738833,0.42914469693806007,0.6729152192315645,train,13,5,alto
C102222,0,0.78121245,0.41887998005397437,0.6725127083678464,train,14,6,alto
C100660,0,0.74238235,0.5001097409583863,0.669700547714762,train,7,3,alto
C101496,1,0.77816504,0.41515000406892194,0.6692605249404642,train,14,5,alto
C100611,0,0.6579492,0.6952187244814187,0.6691300518727764,train,12,5,alto
C101256,0,0.76382536,0.4472784053389776,0.6688612655134365,train,8,3,alto
C102202,0,0.763306,0.4463830444233231,0.668229128510255,train,13,5,alto
C101086,0,0.763306,0.44040094143041103,0.6664344976123814,train,11,4,alto
C101929,1,0.7754881,0.4115356754061024,0.6663023755191696,train,14,5,alto
C101721,0,0.75942475,0.4488259113087529,0.6662450896577321,test,8,3,alto
C101754,1,0.7848497,0.38845197707933493,0.6659303794816801,test,11,4,alto
C100707,0,0.7780225,0.40097760737344934,0.6649090277564684,test,11,4,alto
C101807,0,0.7403236,0.4889223728239741,0.6649032161730589,test,8,3,alto
C102348,0,0.6678295,0.656402835361057,0.6644015100931804,train,13,5,alto
C101065,1,0.7848497,0.3832922393487528,0.6643824581625055,train,17,7,alto
C100594,1,0.7818388,0.3889743136733062,0.6639794006159689,train,17,7,alto
C102186,1,0.7848497,0.38114154512296017,0.6637372498947677,train,13,5,alto
C100019,1,0.78121245,0.3891399786057321,0.6635907079333737,train,15,6,alto
C100115,1,0.7848497,0.37982837839995065,0.6633432998778648,train,13,5,alto
C102132,0,0.763306,0.4291074107387855,0.6630464384048937,train,10,4,alto
C101677,0,0.77738833,0.39585019465756915,0.6629268685474172,test,12,5,alto
C100771,1,0.7818388,0.38491813722075413,0.6627625476802033,test,13,5,alto
C100317,0,0.77738833,0.3949465782712236,0.6626557836315136,train,10,4,alto
C100443,1,0.7768763,0.39551876559311727,0.6624690370990473,train,13,5,alto
C101647,0,0.6109163,0.7795410464604361,0.6615037354946036,train,14,6,alto
C100365,0,0.7500502,0.452126742307653,0.6606731655908554,test,11,4,alto
C100931,1,0.78121245,0.379124146220597,0.6605859582178332,train,15,6,alto
C100042,0,0.76382536,0.41872544524040745,0.6602953774838654,test,15,6,alto
C101874,1,0.6764567,0.6221007799908359,0.6601499168814671,train,11,4,alto
C101609,1,0.77816504,0.38425143624016983,0.6599909545918385,train,13,5,alto
C101352,0,0.74988186,0.44873869142622336,0.6595389119437056,train,8,3,alto
C101034,0,0.7660552,0.4108472302868618,0.6594928394351797,train,17,7,alto
C102007,1,0.7848497,0.3643333893949974,0.6586948031763789,test,11,4,alto
C101700,0,0.7672857,0.40336740936751464,0.6581101802763799,train,12,5,alto
C101856,1,0.772325,0.3872781627354112,0.656810928373846,train,16,6,alto
C100421,0,0.77738833,0.36309986971784414,0.6531017710654997,train,13,5,alto
C100756,1,0.7848497,0.3437208833542485,0.6525110513641542,train,13,5,alto
C100874,0,0.78107136,0.3487891850072215,0.6513867049574277,train,15,6,alto
C101257,1,0.7547859,0.40876026449214703,0.6509781941700318,train,11,4,alto
C100435,0,0.78121245,0.34381324736404,0.649992688560866,train,10,4,alto
C100658,1,0.7671522,0.3750686224542439,0.6495270841193909,train,20,8,alto
C102303,0,0.78107136,0.3421613434547566,0.6493983524916882,test,5,2,alto
C100388,0,0.78121245,0.3417592992540487,0.6493765041278686,train,17,7,alto
C101378,0,0.78121245,0.3413048548443177,0.6492401708049493,train,8,3,alto
C101158,0,0.75478363,0.40185106086431854,0.6489038237562743,train,7,3,alto
C102267,0,0.7490981,0.41434959179221703,0.648673580902991,train,12,5,alto
C102403,0,0.763306,0.3811614205551325,0.6486626413497978,train,9,4,alto
C102388,0,0.77816504,0.34501019977728736,0.6482185836529738,train,17,7,alto
C101986,0,0.78121245,0.33748824953933587,0.6480951892134548,train,14,6,alto
C101373,1,0.7848497,0.3286066466711229,0.6479767803592165,train,13,5,alto
C101984,0,0.7558617,0.39500543537165395,0.6476047905159762,train,10,4,alto
C101795,0,0.7848497,0.3257505916132745,0.647119963841862,train,12,5,alto
C100876,0,0.7818388,0.33203416861292684,0.6468973570978551,train,15,6,alto
C102352,0,0.7529214,0.3966625403281769,0.646043714014194,train,10,4,alto
C100711,1,0.7729984,0.3483993572716836,0.6456186998702563,train,13,5,alto
C100698,0,0.78107136,0.32845603830183656,0.6452867609458122,train,12,5,alto
C100887,1,0.78107136,0.32774235620081366,0.6450726563155054,train,13,5,alto
C101557,0,0.75872445,0.37868529841283693,0.6447127171903244,train,7,3,alto
C100941,0,0.7464556,0.40472364071828615,0.6439360250348523,train,15,6,alto
C101672,0,0.763306,0.36398413889963777,0.6435094568531494,test,8,3,alto
C101227,1,0.78493124,0.31317877263040333,0.6434055193966954,train,10,4,alto
C101858,0,0.75811946,0.3740121375556248,0.6428872779320317,train,11,4,alto
C101207,0,0.78107136,0.31918372095568553,0.6425050657419669,train,8,3,alto
C101360,0,0.78121245,0.3165315225937061,0.6418081711297658,train,15,6,alto
C101826,0,0.78121245,0.3149975320775109,0.6413479739749073,train,10,4,alto
C101538,0,0.77816504,0.3219179157117209,0.6412908984333039,train,13,5,alto
C102022,1,0.74254566,0.4043237793535489,0.64107908094199,train,13,5,alto
C100324,1,0.7848497,0.3055050346794896,0.6410462967617265,train,11,4,alto
C101140,0,0.763306,0.3555543266949471,0.6409805131917422,train,13,5,alto
C101659,0,0.7671522,0.3458458885802017,0.6407602639571782,train,8,3,alto
C101868,1,0.7848497,0.3032533267870417,0.6403707843939921,train,13,5,alto
C102458,1,0.76382536,0.3516264952183218,0.6401656924772396,train,15,6,alto
C100907,0,0.7671522,0.3408698167181904,0.6392674423985748,train,12,5,alto
C100091,1,0.7848497,0.29703334399070974,0.6385047895550926,train,14,4,alto
C100281,0,0.7754881,0.3177877193877537,0.6381779887136649,train,8,3,alto
C101275,1,0.7848497,0.29462148508697583,0.6377812318839724,train,13,5,alto
C101583,1,0.77738833,0.31135416283943607,0.6375780590019773,train,18,7,alto
C101328,0,0.77738833,0.30985336567682475,0.6371278198531939,train,13,5,alto
C101465,1,0.7671522,0.33242276659000486,0.6367333273601191,train,13,5,alto
C102021,1,0.7848497,0.28679723646042576,0.6354339572960074,train,13,5,alto
C100453,0,0.7729984,0.31438226626019344,0.6354135725668093,train,9,4,alto
C101651,1,0.7698703,0.3207374703592697,0.6351304379614187,train,11,4,alto
C101217,1,0.76382536,0.3347336539979704,0.6350978401111342,train,13,5,alto
C101602,1,0.7818388,0.2919901930163838,0.6348841644188922,train,12,5,alto
C100829,1,0.772325,0.3111069216078775,0.633959556035586,train,10,4,alto
C100350,0,0.7597907,0.3399463780091746,0.6338374104311032,train,10,4,alto
C101274,0,0.7780225,0.2969476341015543,0.6337000357748999,train,15,6,alto
C100171,0,0.77816504,0.29647996437185664,0.6336595130313446,train,10,4,alto
C101467,0,0.78121245,0.2892689232187447,0.6336293913172775,train,10,4,alto
C100246,0,0.78121245,0.2882688984954059,0.6333293839002758,train,10,4,alto
C101295,0,0.75872445,0.33767594770694703,0.6324099119785574,train,10,4,alto
C100854,0,0.7780225,0.29260583838871995,0.6323974970610495,train,11,4,alto
C100291,0,0.7671522,0.3178434880505732,0.6323595437982896,train,5,2,alto
C101028,1,0.7514444,0.3540612640118556,0.6322294289510237,train,20,6,alto
C100027,0,0.75193024,0.35103059754157595,0.6316603331130282,train,11,4,alto
C101007,0,0.7519733,0.35081529240421183,0.6316258419174305,train,8,3,alto
C100519,1,0.75769854,0.33456322977485725,0.6307579202340319,train,16,6,alto
C102001,1,0.78121245,0.2789338218191552,0.6305288608974006,train,13,5,alto
C101649,0,0.77738833,0.2871835035916449,0.6303268612276399,test,10,4,alto
C101113,0,0.6732197,0.5289881810262196,0.6299502368186233,train,10,4,alto
C101411,1,0.7848497,0.2679104372016676,0.6297679175183799,train,15,6,alto
C101187,0,0.7456908,0.359101735204173,0.6297140844612458,test,9,4,alto
C101222,1,0.7472853,0.3551157619046647,0.6296344490494573,train,13,5,alto
C102304,0,0.7743031,0.2919672520218525,0.6296023306625556,train,12,5,alto
C100125,0,0.7731432,0.29351024268708964,0.6292532933909962,train,10,4,alto
C102082,1,0.77738833,0.2830674867569119,0.6290920561772201,train,11,4,alto
C100640,1,0.7757715,0.2868074595464402,0.6290822750190834,train,13,5,alto
C100751,0,0.7818388,0.2724911821417099,0.62903446115649,test,8,3,alto
C101170,1,0.78107136,0.27383477306749937,0.6289003813755111,train,12,5,alto
C101410,0,0.76382536,0.31303139957383597,0.628587163783894,train,10,4,alto
C102468,0,0.7401649,0.3669410612109928,0.6281977196313032,train,8,3,alto
C101892,0,0.7731432,0.2880639245120269,0.6276193979384774,train,8,3,alto
C101809,0,0.78121245,0.2691378185119977,0.6275900599052534,train,13,5,alto
C102454,0,0.7540383,0.33249480879760773,0.627575228680542,test,15,6,alto
C101500,0,0.7671522,0.3010923879838107,0.6273342137782609,train,9,4,alto
C100266,0,0.74322087,0.35613224968984475,0.6270942868759476,train,10,4,alto
C101573,0,0.75478363,0.3285007200975341,0.6268987215262389,test,8,3,alto
C100213,0,0.73866266,0.36501127726763993,0.6265672393051699,train,5,2,alto
C102425,1,0.78107136,0.2656600556998332,0.6264479661652111,train,13,5,alto
C102322,0,0.77738833,0.2710677912815831,0.6254921475346215,train,8,3,alto
C100809,0,0.7282082,0.3829614847097023,0.6246341624615557,test,15,6,alto
C100352,1,0.75478363,0.3195058362673223,0.6242002563771755,train,11,4,alto
C102065,0,0.7472853,0.33667657380944893,0.6241026926208926,train,7,3,alto
C100340,0,0.77816504,0.2617467677396429,0.6232395540416804,train,10,4,alto
C101599,0,0.78121245,0.2539110611217672,0.6230220326881842,train,11,4,alto
C101901,1,0.7848497,0.244887936844786,0.6228611674113155,train,13,5,alto
C101083,0,0.7780225,0.2603583781759045,0.6227232589972049,train,12,5,alto
C102376,1,0.74085325,0.34599998722895825,0.6223972413850571,train,11,4,alto
C102473,1,0.7508081,0.319820471891483,0.6215118254091502,train,11,4,alto
C101816,0,0.7671522,0.28144770143446524,0.6214408078134572,test,10,4,alto
C100033,0,0.7671522,0.2775044718341286,0.6202578389333563,train,8,3,alto
C100061,0,0.78107136,0.2438943290027732,0.6199182481560932,train,10,4,alto
C100364,1,0.7403236,0.337141606521444,0.6193689862822999,test,15,6,alto
C100612,0,0.763306,0.28263190118198406,0.6191037855378533,test,8,3,alto
C100099,0,0.73762345,0.341340398381965,0.6187385009499837,train,9,2,alto
C100110,0,0.77738833,0.24593604141671643,0.6179526225751614,train,10,4,alto
C101879,0,0.77738833,0.2444531951241634,0.6175077686873955,train,8,3,alto
C102382,0,0.7613769,0.2802399047966743,0.617035783790229,train,12,5,alto
C102320,0,0.78107136,0.23247405877660052,0.6164921670882414,train,11,4,alto
C101164,0,0.7597907,0.28051168969612833,0.6160070039371893,train,9,4,alto
C101886,1,0.73234934,0.34355219549358984,0.6157101879907283,train,12,5,alto
C102035,0,0.78107136,0.2294700103699611,0.6155909525662495,train,10,4,alto
C100957,1,0.7791935,0.23290771671794125,0.6153077436347671,train,14,5,alto
C101337,1,0.7575283,0.2817765720457528,0.6148027732303946,train,13,5,alto
C100130,0,0.77738833,0.23183534015935936,0.6137224121979543,train,15,6,alto
C101953,0,0.7581387,0.2766605462531346,0.6136952711910039,train,10,4,alto
C100379,0,0.7848497,0.21254037788745442,0.6131568997241159,train,8,3,alto
C100415,0,0.77816504,0.22531759339432134,0.612310801738084,train,11,4,alto
C101006,1,0.77816504,0.2243165573516331,0.6120104909252775,train,13,5,alto
C100227,0,0.7671522,0.24608799208585871,0.6108328950088753,test,10,4,alto
C101209,1,0.7698703,0.2384748160888372,0.6104516416802889,test,15,6,alto
C101848,0,0.78107136,0.21031787365714247,0.609845311552404,train,13,5,alto
C102029,0,0.763306,0.25139401991063703,0.6097324211564492,train,10,4,alto
C100329,1,0.7729984,0.22842345945152903,0.6096259305242099,train,11,4,alto
C100201,1,0.7754881,0.2214493786497133,0.6092764864922529,train,14,5,alto
C100078,1,0.7729984,0.22569510270723842,0.6088074235009228,train,10,4,alto
C100382,1,0.74908143,0.2714169570662577,0.6057821079748272,test,12,5,alto
C100537,0,0.73234934,0.3102685114646319,0.605725082782041,train,10,4,alto
C100332,1,0.77738833,0.20515188397691175,0.60571737534322,train,11,4,alto
C102152,0,0.6606876,0.4771685200111914,0.6056318759076849,train,13,5,alto
C101699,0,0.77816504,0.2026776816036747,0.60551882820089,train,12,5,alto
C101422,1,0.7531005,0.25989068693592127,0.6051375661691247,train,11,4,alto
C100423,0,0.7671522,0.2248785177292147,0.604470052701882,train,10,4,alto
C102111,0,0.71141416,0.35422920526166773,0.604258654538095,train,10,4,alto
C101066,0,0.71072274,0.35427488128199297,0.6037883676286164,train,14,6,alto
C101033,1,0.78107136,0.18932491754819622,0.6035474247197201,train,8,3,alto
C100934,0,0.7692197,0.21593195458852577,0.6032333441394666,train,10,4,alto
C100659,0,0.75478363,0.2492712482663326,0.6031298799768785,train,10,4,alto
C102436,0,0.7671522,0.22037687582213655,0.6031195601297586,test,12,5,alto
C102159,1,0.76325023,0.22699823115367504,0.6023746434870327,train,13,5,alto
C101117,0,0.75610626,0.24223985656228375,0.60194630141296,train,11,4,alto
C101322,0,0.7472853,0.2587712409838775,0.6007310927732211,train,8,3,alto
C100190,0,0.77738833,0.1868269326931083,0.600219889958079,train,7,3,alto
C102297,0,0.74322087,0.2633939785113926,0.5992728055224119,train,12,5,medio
C102407,0,0.74020696,0.26868369812708537,0.59874995540065,train,8,3,medio
C100050,0,0.7780225,0.18037191050063553,0.5987273186946243,train,13,5,medio
C100866,0,0.78107136,0.17281993070921836,0.5985959286680267,train,13,5,medio
C102249,0,0.74715996,0.25016604560555755,0.5980617961226158,train,5,2,medio
C101393,0,0.75872445,0.22315684666451047,0.5980541816658265,train,11,4,medio
C101102,0,0.7444182,0.2561367737671568,0.5979337450093279,train,8,3,medio
C100759,0,0.7671522,0.20142197478322463,0.5974330898180851,train,13,5,medio
C102289,1,0.7743031,0.1838064233855951,0.5971540820716783,train,14,5,medio
C100967,0,0.7273956,0.28965988872334547,0.5960748765405571,train,18,7,medio
C101030,0,0.74379396,0.25102964227040286,0.5959646439094534,train,9,4,medio
C101661,0,0.72833824,0.2866774589093572,0.5958399710140242,train,7,3,medio
C100277,0,0.78107136,0.16190745169515772,0.5953221849638085,train,10,4,medio
C101954,1,0.7559022,0.2182372958483695,0.5946027204699039,train,14,5,medio
C102049,0,0.71599776,0.31056106037332143,0.5943667290998504,train,10,4,medio
C100833,1,0.78107136,0.15819383823196476,0.5942081009248507,test,11,4,medio
C101844,0,0.7105693,0.3224272194615852,0.5941266913149312,train,8,3,medio
C102143,1,0.7534209,0.22040868675246703,0.5935171987877335,train,11,4,medio
C100321,0,0.7633144,0.19670811027508403,0.5933325491256161,train,10,4,medio
C102154,1,0.7295506,0.27518914250747484,0.5932421270257715,train,13,5,medio
C101693,0,0.7671522,0.1870016071404869,0.5931069795252637,train,8,3,medio
C100176,0,0.65808004,0.440913211985266,0.5929299806606281,train,8,3,medio
C102328,1,0.7540383,0.21638542279673983,0.5927424128802817,train,11,4,medio
C100112,0,0.7488854,0.22719856471558728,0.5923793207727084,train,8,3,medio
C101011,0,0.7848497,0.14237058905923758,0.5921059630756509,train,14,6,medio
C100717,0,0.7206735,0.28942372895489754,0.5912985399282296,train,10,4,medio
C100933,0,0.75478363,0.2062321147600359,0.5902181399249895,train,11,4,medio
C101390,0,0.77738833,0.1505636769344861,0.5893409132304923,train,10,4,medio
C102009,1,0.7443028,0.22668188937800557,0.589016515398912,train,8,3,medio
C101671,0,0.73329395,0.25225806972667775,0.5889832041897929,train,11,4,medio
C100205,0,0.68849105,0.3560348441853418,0.5887541797952144,train,12,5,medio
C100982,0,0.75478363,0.1996211841984196,0.5882348607565047,train,8,3,medio
C102000,0,0.7671522,0.16954469606798184,0.5878699062035122,train,10,4,medio
C100307,0,0.7743031,0.15278259723495374,0.5878469342264859,test,11,4,medio
C100839,0,0.72050095,0.2773539429632231,0.5875568451204123,train,8,3,medio
C100631,0,0.75731385,0.19075101368936936,0.5873449616232903,train,8,3,medio
C100509,1,0.70401335,0.3148630208684352,0.5872682317171498,train,16,6,medio
C102492,0,0.7442349,0.2081886975380826,0.5834210529450491,train,5,2,medio
C102094,0,0.71639675,0.2727582604934774,0.5833051965013147,train,10,4,medio
C100646,0,0.763306,0.1626619512018725,0.5831128005438198,train,11,4,medio
C100279,0,0.75478363,0.18100273178104534,0.5826493250312924,train,8,3,medio
C101546,0,0.75811946,0.1719138781834471,0.5822578001203784,train,10,4,medio
C100890,0,0.7472853,0.19676652602103548,0.5821296782843685,train,7,3,medio
C100316,0,0.72850525,0.23260701171801348,0.5797357811696704,train,8,3,medio
C100012,0,0.7403236,0.20379260884222503,0.5793642869785343,train,8,3,medio
C101888,0,0.69855106,0.2870401510627588,0.5750977924177504,train,10,4,medio
C102391,0,0.683235,0.3217363318534525,0.5747853803852746,train,15,6,medio
C101963,0,0.63042086,0.4439552806460133,0.5744811946941397,train,5,2,medio
C102339,1,0.7558617,0.15042391835671132,0.5742303354114934,test,16,6,medio
C102139,0,0.61032003,0.4859924979419657,0.5730217596117004,train,11,4,medio
C102217,0,0.7401649,0.18235145420092363,0.5728208375282825,train,5,2,medio
C101445,1,0.67334247,0.3354731260886485,0.5719816702351181,train,14,5,medio
C102214,0,0.75478363,0.1438990156199114,0.5715182101829521,train,8,3,medio
C100542,1,0.62099123,0.4451206617820619,0.5682300416609156,test,13,5,medio
C101267,0,0.74238235,0.15814666233303867,0.5671116241271577,train,10,4,medio
C102185,0,0.75478363,0.127770588400674,0.566679682017181,train,8,3,medio
C100261,0,0.71510446,0.21838417698273835,0.5660883517543369,train,7,3,medio
C101705,0,0.687065,0.2825031058902707,0.5656964295183172,train,13,5,medio
C102293,0,0.69841856,0.2550514765127684,0.5654084154231603,train,9,3,medio
C100727,0,0.75872445,0.11404647680609306,0.5653210707083013,train,5,2,medio
C102474,0,0.66114753,0.3406580198452764,0.5650006803466646,train,8,3,medio
C100217,0,0.69575346,0.2581360111533937,0.564468210038523,train,5,2,medio
C101885,0,0.69575346,0.2576547771098814,0.5643238398254693,train,8,3,medio
C101663,0,0.7464556,0.13812882017031378,0.5639575788704606,train,5,2,medio
C100696,0,0.6532465,0.3254276142352485,0.5549008436749477,train,10,4,medio
C101401,0,0.71639675,0.17786928264143786,0.5548385031457028,train,10,4,medio
C100049,0,0.74322087,0.11404389519703274,0.554467780528104,train,11,5,medio
C101456,0,0.71510446,0.1726111546964485,0.5523564450684499,train,10,4,medio
C101114,0,0.6631906,0.2820387845728023,0.5488450636116631,train,10,4,medio
C100212,1,0.633621,0.3455503702596402,0.5471997833381765,train,13,5,medio
C102378,0,0.6641702,0.2585168147576924,0.5424741943029486,train,12,5,medio
C100029,0,0.64511347,0.3021175150987603,0.5422146762882798,test,8,3,medio
C101126,0,0.46715412,0.7097610302520574,0.5399361988232368,train,14,5,medio
C101840,0,0.6426167,0.29676240846644025,0.5388603871021574,train,13,5,medio
C100888,0,0.680728,0.20401739633053279,0.5377148197769217,train,11,4,medio
C101933,0,0.51056814,0.599667122157839,0.5372978419638953,train,12,5,medio
M200363,1,0.43656495,0.7588410899064696,0.5332477845258043,test,15,6,medio
C101220,0,0.6631906,0.2227240020943567,0.5310506288681294,train,10,4,medio
C102242,0,0.609963,0.3415188463275968,0.5294297418518465,test,5,2,medio
C101687,0,0.6688526,0.1928662151567912,0.5260567036411994,test,11,4,medio
C101669,0,0.46182883,0.6499259551569846,0.5182579720081397,train,15,6,medio
C100192,0,0.6239204,0.26529380996564433,0.5163324156985861,train,11,4,medio
C101752,0,0.62903935,0.2181209786199824,0.5057638187248497,train,8,3,medio
C101442,1,0.6398918,0.19178972026650673,0.5054611724047201,train,8,3,medio
C101757,0,0.6499996,0.15415872624617025,0.5012473329636491,train,5,2,medio
C101484,0,0.5295721,0.42774084755674185,0.4990227328207945,train,5,2,medio
C100729,0,0.45262238,0.5907768785046678,0.49406873521468464,test,11,5,medio
C100616,0,0.57309186,0.3009892050556532,0.49146105480588054,train,8,3,medio
C100677,0,0.4896577,0.4865496505961273,0.48872527926163234,train,16,6,medio
C101783,0,0.5361681,0.3743487240040128,0.48762228015553427,train,15,6,medio
C102434,0,0.59150785,0.2354436293893669,0.48468858527104897,test,8,3,medio
C102358,0,0.5304858,0.3734807889383425,0.48338430287603706,train,7,3,medio
C102013,0,0.55325216,0.32001779276736453,0.4832818382936951,test,10,4,medio
C100282,0,0.427771,0.6009662062081702,0.47972956032016895,train,15,6,medio
C102283,0,0.5870607,0.22578174257298766,0.4786769878388061,train,8,3,medio
C102307,0,0.5651049,0.2749803891740381,0.4780675539661091,test,13,5,medio
C101976,0,0.47412288,0.48570947234940565,0.47759886498782644,train,14,6,medio
C100077,0,0.51650625,0.3794236364715198,0.4753814751730233,train,15,6,medio
C100999,0,0.51833344,0.358609310116478,0.4704162035364235,test,8,3,medio
C102495,0,0.4853281,0.43207433058200495,0.46935196588450134,train,12,5,medio
C101713,0,0.48715612,0.4042339930788136,0.46227948694990445,train,10,4,medio
C101876,0,0.5361681,0.2857303161443637,0.46103675779763953,train,10,4,medio
C100487,0,0.50613433,0.35389522872587864,0.4604626004762078,train,11,4,medio
C100964,0,0.504827,0.3489454707538157,0.45806256297335235,train,10,4,medio
C100779,0,0.49500874,0.3675521038362121,0.4567717499252777,train,10,4,medio
C100083,0,0.50613433,0.3348377610770748,0.45474536018156664,train,10,4,medio
C101331,0,0.4851621,0.3831355463689187,0.45455413136558587,train,8,3,medio
C100695,0,0.4862446,0.37995930946457485,0.45435901414331226,train,8,3,medio
C101932,0,0.52621275,0.28453048906401884,0.4537080730249765,train,13,5,medio
