entity_id,entity_type,rule_id,severity,evidence_ids,rule_desc
C100526,client,R04_income_mismatch,2,TNLN19GV0O6W8,"Renda incompatível: R$20,943 = 23.2× renda mensal"
C100149,client,R04_income_mismatch,2,TPKDVOU4TI4WR,"Renda incompatível: R$31,583 = 16.7× renda mensal"
C101980,client,R04_income_mismatch,2,TSU9FAWADDESH,"Renda incompatível: R$20,564 = 31.8× renda mensal"
C100287,client,R04_income_mismatch,2,TP4VHBFMUMYKB,"Renda incompatível: R$21,337 = 21.6× renda mensal"
C100337,client,R04_income_mismatch,2,TUNR9QE54R4GQ,"Renda incompatível: R$56,618 = 21.3× renda mensal"
C102110,client,R04_income_mismatch,2,T27T30SVBHMHW,"Renda incompatível: R$8,853 = 43.1× renda mensal"
C101760,client,R04_income_mismatch,2,T118RSLT2O4ID,"Renda incompatível: R$46,713 = 55.2× renda mensal"
C100759,client,R04_income_mismatch,2,T5D40EKCX8G1G,"Renda incompatível: R$16,400 = 20.4× renda mensal"
C101051,client,R04_income_mismatch,2,TEO5F1C4Z819W,"Renda incompatível: R$7,383 = 16.7× renda mensal"
C101948,client,R04_income_mismatch,2,THRQSUIJO5E0L,"Renda incompatível: R$20,051 = 23.8× renda mensal"
C102012,client,R04_income_mismatch,2,TD33W75BFFTRF,"Renda incompatível: R$22,551 = 24.5× renda mensal"
C102406,client,R04_income_mismatch,2,T1KNTZQQQ0INW,"Renda incompatível: R$49,767 = 65.8× renda mensal"
C100812,client,R04_income_mismatch,2,T3SY3F00PUL4M,"Renda incompatível: R$3,896 = 17.4× renda mensal"
C100940,client,R04_income_mismatch,2,TRHERS03I4X51,"Renda incompatível: R$9,398 = 21.0× renda mensal"
C100043,client,R04_income_mismatch,2,TN2NY1XF5REWA,"Renda incompatível: R$31,696 = 61.2× renda mensal"
C102202,client,R04_income_mismatch,2,T76UEB0MFABDJ,"Renda incompatível: R$3,234 = 15.9× renda mensal"
C100692,client,R04_income_mismatch,2,TCRPE03VAU64G,"Renda incompatível: R$29,195 = 67.2× renda mensal"
C100837,client,R04_income_mismatch,2,T09704MTOVVYU,"Renda incompatível: R$13,360 = 21.2× renda mensal"
C101276,client,R04_income_mismatch,2,TI3L7YMTLJ119,"Renda incompatível: R$49,642 = 20.9× renda mensal"
C100757,client,R04_income_mismatch,2,TB40E4OZ9WUPB,"Renda incompatível: R$15,386 = 26.8× renda mensal"
C100409,client,R04_income_mismatch,2,T0XRIJ6CENJCG,"Renda incompatível: R$30,024 = 23.9× renda mensal"
C101848,client,R04_income_mismatch,2,TZIV5Y9HKNFUF,"Renda incompatível: R$32,164 = 38.9× renda mensal"
C100467,client,R04_income_mismatch,2,T771RP2UC4SGB,"Renda incompatível: R$27,260 = 16.2× renda mensal"
C100273,client,R04_income_mismatch,2,TPCG37GSV2Q27,"Renda incompatível: R$27,900 = 31.0× renda mensal"
C102469,client,R04_income_mismatch,2,TSK7924M8W6MB,"Renda incompatível: R$24,552 = 15.5× renda mensal"
C102476,client,R04_income_mismatch,2,TYWB8ZC4KLBLR,"Renda incompatível: R$7,900 = 16.9× renda mensal"
C101039,client,R04_income_mismatch,2,TXO791AAUN6V9,"Renda incompatível: R$22,387 = 21.3× renda mensal"
C101213,client,R04_income_mismatch,2,TW4JMYR62VLOF,"Renda incompatível: R$41,494 = 38.6× renda mensal"
C100947,client,R04_income_mismatch,2,TVLKO57PP6AZC,"Renda incompatível: R$27,483 = 18.7× renda mensal"
C101907,client,R04_income_mismatch,2,TP936FFEU2PXD,"Renda incompatível: R$16,279 = 23.0× renda mensal"
C100739,client,R04_income_mismatch,2,TEJRG08TAR2LM,"Renda incompatível: R$24,253 = 24.8× renda mensal"
C100874,client,R04_income_mismatch,2,TEYT85CBR8FTS,"Renda incompatível: R$19,405 = 23.7× renda mensal"
C102102,client,R04_income_mismatch,2,TBHY7JKU71VNF,"Renda incompatível: R$7,588 = 28.9× renda mensal"
C102495,client,R04_income_mismatch,2,TW1KRNQ7CRQ0K,"Renda incompatível: R$12,621 = 15.7× renda mensal"
C101081,client,R04_income_mismatch,2,TUSH9QWVYG8HU,"Renda incompatível: R$26,354 = 16.1× renda mensal"
C100792,client,R04_income_mismatch,2,TMNBXFW7NNXL6,"Renda incompatível: R$21,799 = 16.0× renda mensal"
C100637,client,R04_income_mismatch,2,TTWYNZLJPL9RS,"Renda incompatível: R$18,209 = 27.7× renda mensal"
C101937,client,R04_income_mismatch,2,TWU9N9BKY7XGQ,"Renda incompatível: R$10,659 = 16.1× renda mensal"
C100200,client,R04_income_mismatch,2,TS9AUR0B5HU0T,"Renda incompatível: R$39,413 = 16.9× renda mensal"
C102043,client,R04_income_mismatch,2,T21JQYK0MWMX7,"Renda incompatível: R$31,014 = 45.2× renda mensal"
C101232,client,R04_income_mismatch,2,TU1TMRD1FTJ10,"Renda incompatível: R$21,009 = 28.9× renda mensal"
C101706,client,R04_income_mismatch,2,TD0DGD9URXQD2,"Renda incompatível: R$36,178 = 39.3× renda mensal"
C102284,client,R04_income_mismatch,2,TKEXLJ2QB3RTU,"Renda incompatível: R$11,152 = 18.0× renda mensal"
C101493,client,R04_income_mismatch,2,TXH19I2J6VGK3,"Renda incompatível: R$10,723 = 56.2× renda mensal"
C100097,client,R04_income_mismatch,2,T9JGLBFJEV8B7,"Renda incompatível: R$13,419 = 23.7× renda mensal"
C101358,client,R04_income_mismatch,2,TMX1A6B8KEUJ7,"Renda incompatível: R$21,661 = 24.2× renda mensal"
C101506,client,R04_income_mismatch,2,TFQ1N3ZUSYVGC,"Renda incompatível: R$9,612 = 15.6× renda mensal"
C102031,client,R04_income_mismatch,2,TLK1LKJ6AZH8D,"Renda incompatível: R$5,389 = 15.3× renda mensal"
C101026,client,R04_income_mismatch,2,TJBLC9ESOJACF,"Renda incompatível: R$2,287 = 15.1× renda mensal"
C102179,client,R04_income_mismatch,2,TRZ3YF83WOH1E,"Renda incompatível: R$11,570 = 16.8× renda mensal"
C100416,client,R04_income_mismatch,2,T5ANI3HEL8YXI,"Renda incompatível: R$37,787 = 69.9× renda mensal"
C101886,client,R04_income_mismatch,2,TYZZIUTN0MTLG,"Renda incompatível: R$8,055 = 17.5× renda mensal"
C101035,client,R04_income_mismatch,2,TJDPY2RKRX09S,"Renda incompatível: R$6,524 = 25.3× renda mensal"
C100175,client,R04_income_mismatch,2,TOBHX2J4CAAFB,"Renda incompatível: R$14,168 = 23.7× renda mensal"
C102304,client,R04_income_mismatch,2,T472CSJU2DHOS,"Renda incompatível: R$21,070 = 31.4× renda mensal"
C100539,client,R04_income_mismatch,2,TDR3M7L1IOZEL,"Renda incompatível: R$4,547 = 21.4× renda mensal"
C102329,client,R04_income_mismatch,2,T738OGDK194Z2,"Renda incompatível: R$7,627 = 16.2× renda mensal"
C101588,client,R04_income_mismatch,2,TGOHH2UD2HKBC,"Renda incompatível: R$42,744 = 99.4× renda mensal"
C101274,client,R04_income_mismatch,2,T4XAQEOULX8TG,"Renda incompatível: R$28,115 = 18.2× renda mensal"
C101769,client,R04_income_mismatch,2,TB8SC5JH5JFZL,"Renda incompatível: R$13,415 = 31.4× renda mensal"
C101913,client,R04_income_mismatch,2,T2GXGINC19S50,"Renda incompatível: R$33,073 = 39.1× renda mensal"
C101715,client,R04_income_mismatch,2,TXE4HXI2FYV28,"Renda incompatível: R$8,932 = 24.1× renda mensal"
C100630,client,R04_income_mismatch,2,TBB205NEID0MQ,"Renda incompatível: R$5,016 = 18.0× renda mensal"
C102067,client,R04_income_mismatch,2,T7XZYCJ0K4ME2,"Renda incompatível: R$10,887 = 36.1× renda mensal"
C100829,client,R04_income_mismatch,2,TGP7WLA5JLQCT,"Renda incompatível: R$8,820 = 21.6× renda mensal"
C101746,client,R04_income_mismatch,2,TX8AT1U8HLXEO,"Renda incompatível: R$30,123 = 40.4× renda mensal"
C100378,client,R04_income_mismatch,2,TOWBLFWRX54WP,"Renda incompatível: R$10,437 = 16.1× renda mensal"
C101995,client,R04_income_mismatch,2,TMPA7L51MDWPK,"Renda incompatível: R$14,778 = 17.7× renda mensal"
C101336,client,R04_income_mismatch,2,TKZVZ9SCT17RS,"Renda incompatível: R$4,312 = 16.2× renda mensal"
C100642,client,R04_income_mismatch,2,TBP47AO7J7HDP,"Renda incompatível: R$19,823 = 22.4× renda mensal"
C101320,client,R04_income_mismatch,2,T1Y6M7QECGERG,"Renda incompatível: R$21,436 = 18.2× renda mensal"
C100499,client,R04_income_mismatch,2,T7K5JXPS0IIQL,"Renda incompatível: R$9,583 = 22.9× renda mensal"
C102003,client,R04_income_mismatch,2,TPMAVL56W83KH,"Renda incompatível: R$9,422 = 23.5× renda mensal"
C100857,client,R04_income_mismatch,2,T6J31KNIHFOO6,"Renda incompatível: R$5,990 = 29.2× renda mensal"
C101065,client,R04_income_mismatch,2,TPAR069Q1KX09,"Renda incompatível: R$30,731 = 39.0× renda mensal"
C101812,client,R04_income_mismatch,2,T40A4FFNDQF0W,"Renda incompatível: R$45,249 = 30.4× renda mensal"
C102133,client,R04_income_mismatch,2,TSQYD4LX5B8F3,"Renda incompatível: R$27,823 = 24.9× renda mensal"
C100994,client,R04_income_mismatch,2,T9EZ378FWIHE7,"Renda incompatível: R$6,831 = 20.3× renda mensal"
C100568,client,R04_income_mismatch,2,T8K31RBL1GR85,"Renda incompatível: R$11,033 = 22.7× renda mensal"
C100648,client,R04_income_mismatch,2,TQAYU3MXYG7X2,"Renda incompatível: R$19,777 = 24.8× renda mensal"
C101720,client,R04_income_mismatch,2,TFLVZL1RC4UKU,"Renda incompatível: R$10,783 = 16.3× renda mensal"
C100445,client,R04_income_mismatch,2,TY1HE7HUM9TMZ,"Renda incompatível: R$6,307 = 16.0× renda mensal"
C100624,client,R04_income_mismatch,2,T5AXOFFF6IFOQ,"Renda incompatível: R$9,408 = 24.7× renda mensal"
C100185,client,R04_income_mismatch,2,TFFMBQ7P7LEDS,"Renda incompatível: R$15,261 = 17.2× renda mensal"
C101001,client,R04_income_mismatch,2,TLPH2SK96E7QU,"Renda incompatível: R$53,247 = 43.1× renda mensal"
C101408,client,R04_income_mismatch,2,TGSK01ZZ8ATXR,"Renda incompatível: R$22,001 = 15.1× renda mensal"
C100233,client,R04_income_mismatch,2,TXM1G9V9GY8ZK,"Renda incompatível: R$35,754 = 17.0× renda mensal"
C101554,client,R04_income_mismatch,2,TZPQBPP2OZBVF,"Renda incompatível: R$21,440 = 27.3× renda mensal"
C100658,client,R04_income_mismatch,2,TLC30M6FBZZED,"Renda incompatível: R$57,532 = 15.7× renda mensal"
C101903,client,R04_income_mismatch,2,TGYPO5KUJPV3P,"Renda incompatível: R$10,845 = 17.3× renda mensal"
C101411,client,R04_income_mismatch,2,T29GOJVP9GUC3,"Renda incompatível: R$19,210 = 16.7× renda mensal"
C101343,client,R04_income_mismatch,2,TKFWD69TP0J2I,"Renda incompatível: R$9,918 = 15.1× renda mensal"
C101856,client,R04_income_mismatch,2,TD1W6S7MESKDA,"Renda incompatível: R$13,647 = 41.8× renda mensal"
C102123,client,R04_income_mismatch,2,TJX3CODIVUZ5I,"Renda incompatível: R$21,951 = 21.8× renda mensal"
C100319,client,R04_income_mismatch,2,TINQ0MEGVW5SY,"Renda incompatível: R$26,686 = 22.5× renda mensal"
C101187,client,R04_income_mismatch,2,TZIUWOVQBWAIX,"Renda incompatível: R$9,159 = 15.2× renda mensal"
C102250,client,R04_income_mismatch,2,T9YNQBYAKB5LJ,"Renda incompatível: R$13,528 = 15.5× renda mensal"
C101251,client,R04_income_mismatch,2,T9ZD28N34QX3A,"Renda incompatível: R$16,036 = 62.8× renda mensal"
C101423,client,R04_income_mismatch,2,TKSU7TLQB1J4Y,"Renda incompatível: R$15,919 = 33.8× renda mensal"
C100346,client,R04_income_mismatch,2,TXGTUBAP027R9,"Renda incompatível: R$21,519 = 20.8× renda mensal"
C102285,client,R04_income_mismatch,2,TM5ZN64O7XIKJ,"Renda incompatível: R$22,802 = 19.3× renda mensal"
C101318,client,R04_income_mismatch,2,T64CF15MTWTG6,"Renda incompatível: R$28,537 = 25.6× renda mensal"
C101195,client,R04_income_mismatch,2,TCD0KBOPRQ7BN,"Renda incompatível: R$27,740 = 25.7× renda mensal"
C101971,client,R04_income_mismatch,2,T9DRWTYQQE6WE,"Renda incompatível: R$21,834 = 35.6× renda mensal"
C101210,client,R04_income_mismatch,2,TI1HV55H9TFUM,"Renda incompatível: R$32,394 = 18.1× renda mensal"
C101647,client,R04_income_mismatch,2,TOS9SPP73LWRA,"Renda incompatível: R$34,846 = 32.8× renda mensal"
C100932,client,R04_income_mismatch,2,TDF4CW8J635K7,"Renda incompatível: R$8,429 = 15.1× renda mensal"
C101288,client,R04_income_mismatch,2,TKBZEANEZ15GK,"Renda incompatível: R$59,334 = 51.6× renda mensal"
C101974,client,R04_income_mismatch,2,T6I4O56QKZFXX,"Renda incompatível: R$8,810 = 15.6× renda mensal"
C101097,client,R04_income_mismatch,2,T8P3P7DO1OBCB,"Renda incompatível: R$17,887 = 17.5× renda mensal"
C100680,client,R04_income_mismatch,2,TS640Q9BXI1IL,"Renda incompatível: R$41,937 = 35.6× renda mensal"
C100489,client,R04_income_mismatch,2,TEPKU77IOTKB9,"Renda incompatível: R$51,985 = 16.7× renda mensal"
C100258,client,R04_income_mismatch,2,TZZ6W1Y23HC32,"Renda incompatível: R$21,639 = 22.9× renda mensal"
C101732,client,R04_income_mismatch,2,TB58Z0SVWJEAP,"Renda incompatível: R$16,189 = 15.4× renda mensal"
C100450,client,R04_income_mismatch,2,THK88JUE5YF6D,"Renda incompatível: R$21,876 = 18.7× renda mensal"
C101340,client,R04_income_mismatch,2,TY7ZPXSOV03GN,"Renda incompatível: R$17,002 = 35.6× renda mensal"
C101353,client,R04_income_mismatch,2,TXW9U55TL3YF6,"Renda incompatível: R$14,520 = 20.3× renda mensal"
C101668,client,R04_income_mismatch,2,TA0WXEPGOQSI7,"Renda incompatível: R$22,605 = 18.6× renda mensal"
C100923,client,R04_income_mismatch,2,THYXN4EAATAKU,"Renda incompatível: R$13,992 = 16.1× renda mensal"
C101321,client,R04_income_mismatch,2,TQ8YAAO9NQZ1V,"Renda incompatível: R$43,458 = 24.1× renda mensal"
C100644,client,R04_income_mismatch,2,TEVSWXRXTKN3D,"Renda incompatível: R$6,455 = 16.6× renda mensal"
C100667,client,R04_income_mismatch,2,TZMPETVI9RRNI,"Renda incompatível: R$19,387 = 18.3× renda mensal"
C100877,client,R04_income_mismatch,2,T71LVK8WJNJ2Y,"Renda incompatível: R$17,468 = 23.8× renda mensal"
C101960,client,R04_income_mismatch,2,T9JOOZSQ1MPPI,"Renda incompatível: R$12,268 = 16.1× renda mensal"
C100703,client,R04_income_mismatch,2,TPJ6W3MUH3FN3,"Renda incompatível: R$19,797 = 15.9× renda mensal"
C101341,client,R04_income_mismatch,2,TLH37UREXOM1Y,"Renda incompatível: R$47,405 = 36.9× renda mensal"
C100431,client,R04_income_mismatch,2,T5NSXSYIWCCM7,"Renda incompatível: R$19,959 = 17.9× renda mensal"
C102382,client,R04_income_mismatch,2,TBBGMYWQL232O,"Renda incompatível: R$16,319 = 22.4× renda mensal"
C100403,client,R04_income_mismatch,2,TB9UZ0SQWKAYH,"Renda incompatível: R$22,216 = 15.4× renda mensal"
C100654,client,R04_income_mismatch,2,TACYVEVUDIXZT,"Renda incompatível: R$27,646 = 55.3× renda mensal"
C100356,client,R04_income_mismatch,2,T8N0BB1AYE5VM,"Renda incompatível: R$12,351 = 16.9× renda mensal"
C100221,client,R04_income_mismatch,2,TMIHFX1Q3IFN7,"Renda incompatível: R$13,806 = 25.9× renda mensal"
C100817,client,R04_income_mismatch,2,T0WDZJDUM1VSY,"Renda incompatível: R$13,149 = 15.7× renda mensal"
C100139,client,R04_income_mismatch,2,TSZ3GJMRBZXPB,"Renda incompatível: R$10,828 = 19.3× renda mensal"
C101151,client,R04_income_mismatch,2,T6NLJJPUKJM2I,"Renda incompatível: R$39,420 = 22.0× renda mensal"
C100902,client,R04_income_mismatch,2,TBPAT3X7LXISO,"Renda incompatível: R$41,269 = 29.4× renda mensal"
C102122,client,R04_income_mismatch,2,TE8QF5E4KXBZ7,"Renda incompatível: R$21,494 = 27.6× renda mensal"
C101685,client,R04_income_mismatch,2,TPM3AOX1HM0AN,"Renda incompatível: R$19,407 = 19.8× renda mensal"
C102039,client,R04_income_mismatch,2,TK76D09KHG09L,"Renda incompatível: R$13,607 = 28.1× renda mensal"
